FilingDate,PeriodEnd,BusinessDevelopment,CardMemberRewards,CardMemberServices,Cardmemberservices,DiscountRevenue,EarningsPerShareBasic,EarningsPerShareDiluted,FeesAndCommissionsCreditCards,FeesAndCommissionsOther,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,IncomeTaxExpenseBenefit,InterestAndDividendIncomeOperating,InterestAndDividendIncomeSecurities,InterestAndFeeIncomeLoansAndLeases,InterestExpense,InterestExpenseDeposits,InterestExpenseLongTermDebt,InterestExpenseLongTermDebtAndOther,InterestExpenseOperating,InterestExpenseShortTermBorrowings,InterestIncomeDepositsWithFinancialInstitutions,InterestIncomeExpenseNet,LaborAndRelatedExpense,MarketingAndAdvertisingExpense,MarketingAndPromotion,MarketingExpense,MarketingPromotionRewardsAndCardMemberServices,MarketingPromotionRewardsAndCardmemberServices,MerchantDiscountFees,NetCardFees,NetIncomeLoss,NoninterestExpense,NoninterestIncome,NoninterestIncomeOtherOperatingIncome,OperatingIncomeLoss,OtherNoninterestExpense,ProfessionalFees,ProfessionalServices,ProvisionForDoubtfulAccounts,ProvisionForLoanAndLeaseLosses,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLossesExpensed,ProvisionForOtherLosses,ProvisionsForLossesChargeCard,RevenuesAndFees,RevenuesNetOfInterestExpense,SecuritizationIncomeNet,TotalRevenuesNetOfInterestExpense,TotalRevenuesNetOfInterestExpenseAfterProvisionsForLosses,TravelCommissionsAndFees,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2010-02-25,2007-12-31,,,,,14596000000,3.40,3.34,,2417000000,4126000000,,,3.49,3.44,-114000000,-0.09,-0.10,1568000000,7424000000,673000000,6351000000,3981000000,566000000,,2684000000,,731000000,400000000,3443000000,5438000000,,,,,7817000000,,1919000000,4012000000,17762000000,24116000000,1751000000,5694000000,2227000000,,2280000000,,2761000000,4103000000,,202000000,1140000000,,,1507000000,27559000000,23456000000,1926000000,1193000000,1173000000
2010-02-25,2008-12-31,,,,,15025000000,2.33,2.32,,2307000000,2871000000,,,2.47,2.47,-172000000,-0.14,-0.15,710000000,7201000000,771000000,6159000000,3555000000,454000000,,2618000000,,483000000,271000000,3646000000,6090000000,,,,,7361000000,,2150000000,2699000000,18986000000,24719000000,2157000000,3581000000,3122000000,,2413000000,,4231000000,5798000000,,204000000,1363000000,,,1070000000,28365000000,22567000000,2010000000,1156000000,1154000000
2010-02-25,2009-12-31,,,,,13389000000,1.54,1.54,,1778000000,2137000000,,,1.55,1.54,-7000000,-0.01,0.00,704000000,5331000000,804000000,4468000000,2207000000,425000000,,1745000000,,37000000,59000000,3124000000,5080000000,,,,,6467000000,,2151000000,2130000000,16369000000,21399000000,2087000000,2841000000,2414000000,,2408000000,,4266000000,5313000000,,190000000,857000000,,,400000000,24523000000,19210000000,1594000000,1171000000,1168000000
2012-02-24,2009-12-31,,,,,13202000000,1.54,1.54,,1778000000,2137000000,,2841000000,1.55,1.54,-7000000,-0.01,0,704000000,5331000000,804000000,4468000000,2207000000,425000000,,1745000000,,37000000,59000000,3124000000,5080000000,,,,,6563000000,,2151000000,2130000000,16182000000,21212000000,2090000000,,2131000000,2408000000,,857000000,4266000000,5313000000,,190000000,,,,400000000,24336000000,19023000000,1591000000,1171000000,1168000000
2012-02-24,2010-03-31,,,,,,0.74,0.73,,,885000000,,1252000000,0.74,0.73,0,0,0,,,,,,,,,,,,,,,,,,,,,885000000,,,,,,,,,,,,,,,,,6560000000,,,,
2012-02-24,2010-06-30,,,,,,0.84,0.84,,,1017000000,,1595000000,0.84,0.84,0,0,0,,,,,,,,,,,,,,,,,,,,,1017000000,,,,,,,,,,,,,,,,,6805000000,,,,
2012-02-24,2010-09-30,,,,,,0.91,0.90,,,1093000000,,1640000000,0.91,0.90,0,0,0,,,,,,,,,,,,,,,,,,,,,1093000000,,,,,,,,,,,,,,,,,6973000000,,,,
2012-02-24,2010-12-31,,,,,14880000000,3.37,3.35,,2031000000,4057000000,,5964000000,3.37,3.35,0,0,0,1907000000,7292000000,443000000,6783000000,2423000000,546000000,,1874000000,,3000000,66000000,4869000000,5566000000,,,,,8738000000,,2102000000,4057000000,19411000000,22713000000,1927000000,,2301000000,2806000000,,595000000,1527000000,2207000000,,85000000,,,,0,27582000000,25375000000,1773000000,1195000000,1188000000
2012-02-24,2011-03-31,,,,,,0.98,0.97,,,1177000000,,1732000000,0.98,0.97,0,0,0,,,,,,,,,,,,,,,,,,,,,1177000000,,,,,,,,,,,,,,,,,7031000000,,,,
2012-02-24,2011-06-30,,,,,,1.11,1.10,,,1295000000,,1765000000,1.08,1.07,36000000,0.03,0.03,,,,,,,,,,,,,,,,,,,,,1331000000,,,,,,,,,,,,,,,,,7618000000,,,,
