FilingDate,PeriodEnd,AccountsPayableCurrentAndNoncurrent,AccountsReceivableNet,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,Assets,AssetsOfDisposalGroupIncludingDiscontinuedOperation,AvailableForSaleSecurities,CardMemberReceivablesAndLoansHeldForSale,CardmemberLoansLessReserves,CardmemberReceivables,CashAndDueFromBanks,CashCashEquivalentsAndFederalFundsSold,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashEquivalentsAtCarryingValue,CommonStockValue,DebtAndEquitySecuritiesAvailableForSale,DebtandEquitySecuritiesAvailableforsale,Deposits,InterestBearingDepositsInBanks,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LoansAndLeasesReceivableNetReportedAmount,LoansAndLeasesReceivableNetReportedAmountOther,LoansReceivableHeldForSaleAmount,LoansReceivableNet,LongTermDebt,NotesReceivableNet,OtherAssets,OtherLiabilities,OtherLoansLessReserves,OtherLoansReceivableNetAmount,OtherReceivables,OtherReceivablesLessReserves,PreferredStockValue,PreferredStockValueOutstanding,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,ShortTermBorrowings,ShortTermInvestmentSecurities,ShortTermInvestments,StockholdersEquity,TravelersChequesOutstanding
2010-02-25,2006-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10511000000,
2010-02-25,2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11029000000,
2010-02-25,2008-12-31,8428000000,,-699000000,-80000000,459000000,-368000000,-1606000000,10496000000,126074000000,216000000,12526000000,,-39641000000,32178000000,1574000000,20547000000,,,232000000,,,15486000000,6554000000,114233000000,126074000000,260000000,,,,,60041000000,,12607000000,14592000000,1018000000,,,-4393000000,,,2948000000,2719000000,8993000000,12419000000,,11841000000,6433000000
2010-02-25,2009-12-31,8926000000,,507000000,-28000000,469000000,-722000000,-712000000,11144000000,124088000000,0,24337000000,,-29504000000,33197000000,881000000,15542000000,,,237000000,,,26289000000,10597000000,109682000000,124088000000,0,,,,,52338000000,,13213000000,13810000000,506000000,,,-5007000000,,,2782000000,3737000000,2344000000,4064000000,,14406000000,5975000000
2012-02-24,2008-12-31,,,,,,,-699000000,,,,,,,,,21654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719000000,
2012-02-24,2009-12-31,,,,,,,507000000,,,,,,,,,0,,,,,,,,,,,,,,,25000000000,,,,,,,,,,,,,,,0,
2012-02-24,2010-12-31,9691000000,36880000000,57000000,-7000000,464000000,-503000000,-917000000,11937000000,146689000000,,14010000000,,,,2145000000,16356000000,,654000000,238000000,,,29727000000,13557000000,130459000000,146689000000,,57204000000,412000000,,,23341000000,,15368000000,15593000000,,,3554000000,,,,2905000000,4972000000,3414000000,,,16230000000,5618000000
2012-02-24,2011-12-31,10458000000,40452000000,288000000,-1000000,481000000,-682000000,-876000000,12217000000,153337000000,,7147000000,,,,3514000000,24893000000,,807000000,232000000,,,37898000000,20572000000,134543000000,153337000000,,60747000000,419000000,,,20856000000,,12655000000,18070000000,,,3657000000,,,,3367000000,7221000000,3424000000,,,18794000000,5123000000
2013-02-22,2009-12-31,,,,,,,-28000000,,,,,,,,,16599000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237000000,
2013-02-22,2010-12-31,,,,,,,-7000000,,,,,,,,,16356000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16230000000,
