filing.date,period.end,accounts.payable.current.and.non.current,accounts.receivable.net,accumulated.other.comprehensive.income.loss.available.for.sale.securities.adjustment.net.of.tax,accumulated.other.comprehensive.income.loss.cumulative.changes.in.net.gain.loss.from.cash.flow.hedges.effect.net.of.tax,accumulated.other.comprehensive.income.loss.defined.benefit.pension.and.other.postretirement.plans.net.of.tax,accumulated.other.comprehensive.income.loss.foreign.currency.translation.adjustment.net.of.tax,accumulated.other.comprehensive.income.loss.net.of.tax,additional.paid.in.capital,assets,assets.of.disposal.group.including.discontinued.operation,available.for.sale.securities,card.member.receivables.and.loans.held.for.sale,cardmember.loans.less.reserves,cardmember.receivables,cash.and.due.from.banks,cash.cash.equivalents.and.federal.funds.sold,cash.cash.equivalents.restricted.cash.and.restricted.cash.euivalents,cash.equivalents.at.carrying.value,common.stock.value,debt.and.equity.securities.available.for.sale,debtand.equity.securities.available.for.sale,deposits,interest.bearing.deposits.in.banks,liabilities,liabilities.and.stockholders.equity,liabilities.of.disposal.group.including.discontinued.operation,loans.and.leases.receivable.net.reported.amount,loans.and.leases.receivable.net.reported.amount.other,loans.receivable.held.for.sale.amount,loans.receivable.net,long.term.debt,notes.receivable.net,other.assets,other.liabilities,other.loans less.reserves,other.loans.receivable.net.amount,other.receivables,other.receivables.less.reserves,preferred.stock.value,referred.stock.value.outstanding,property.plant.and.equipment.net,retained.earnings.accumulated.deficit,short.term.borrowings,short.term.investment.securities,short.term.investments,stockholders.equity,travelers.cheques.outstanding,,
2/25/2010,12/31/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10511000000,,,test.usa.balance.sht.10-k.filing.yr.se.capi
2/25/2010,12/31/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11029000000,,Description:,"This dataset contains annual balance sheet data for American Express (AXP) from SEC 10-K filings, with each row representing an XBRL-tagged financial metric for a given fiscal year."
2/25/2010,12/31/2008,8428000000,,-699000000,-80000000,459000000,-368000000,-1606000000,10496000000,1.26074E+11,216000000,12526000000,,-39641000000,32178000000,1574000000,20547000000,,,232000000,,,15486000000,6554000000,1.14233E+11,1.26074E+11,260000000,,,,,60041000000,,12607000000,14592000000,1018000000,,,-4393000000,,,2948000000,2719000000,8993000000,12419000000,,11841000000,6433000000,Frequency: , Annual (Yearly)
2/25/2010,12/31/2009,8926000000,,507000000,-28000000,469000000,-722000000,-712000000,11144000000,1.24088E+11,0,24337000000,,-29504000000,33197000000,881000000,15542000000,,,237000000,,,26289000000,10597000000,1.09682E+11,1.24088E+11,0,,,,,52338000000,,13213000000,13810000000,506000000,,,-5007000000,,,2782000000,3737000000,2344000000,4064000000,,14406000000,5975000000,Form Type: ,10-K 
2/24/2012,12/31/2008,,,,,,,-699000000,,,,,,,,,21654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719000000,,Source,SEC.Api
2/24/2012,12/31/2009,,,,,,,507000000,,,,,,,,,0,,,,,,,,,,,,,,,25000000000,,,,,,,,,,,,,,,0,,,
2/24/2012,12/31/2010,9691000000,36880000000,57000000,-7000000,464000000,-503000000,-917000000,11937000000,1.46689E+11,,14010000000,,,,2145000000,16356000000,,654000000,238000000,,,29727000000,13557000000,1.30459E+11,1.46689E+11,,57204000000,412000000,,,23341000000,,15368000000,15593000000,,,3554000000,,,,2905000000,4972000000,3414000000,,,16230000000,5618000000,,
2/24/2012,12/31/2011,10458000000,40452000000,288000000,-1000000,481000000,-682000000,-876000000,12217000000,1.53337E+11,,7147000000,,,,3514000000,24893000000,,807000000,232000000,,,37898000000,20572000000,1.34543E+11,1.53337E+11,,60747000000,419000000,,,20856000000,,12655000000,18070000000,,,3657000000,,,,3367000000,7221000000,3424000000,,,18794000000,5123000000,,
2/22/2013,12/31/2009,,,,,,,-28000000,,,,,,,,,16599000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237000000,,,
2/22/2013,12/31/2010,,,,,,,-7000000,,,,,,,,,16356000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16230000000,,,
2/22/2013,12/31/2011,10458000000,40452000000,288000000,-1000000,481000000,-682000000,-876000000,12217000000,1.53337E+11,,7147000000,,,,3514000000,24893000000,,807000000,232000000,,,37898000000,20572000000,1.34543E+11,1.53337E+11,,60747000000,419000000,,,20856000000,,12655000000,17157000000,,,3657000000,,,,3367000000,7221000000,4337000000,,,18794000000,5123000000,,
2/22/2013,12/31/2012,10006000000,42338000000,315000000,0,488000000,-754000000,-927000000,12067000000,1.5314E+11,,5614000000,,,,2020000000,22250000000,,338000000,221000000,,,39803000000,19892000000,1.34254E+11,1.5314E+11,,63758000000,551000000,,,19277000000,,11418000000,17557000000,,,3576000000,,,,3635000000,7525000000,3314000000,,,18886000000,4601000000,Map Pushed,
2/25/2014,12/31/2010,,,,,,,-7000000,,,,,,,,,16356000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-917000000,,,
2/25/2014,3/1/2011,,,,,,,,,1042000000,,,,,,,,,,,,,,,426000000,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2014,12/31/2011,,,,,,,-1000000,,,,,,,,,24893000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18794000000,,,
2/25/2014,12/31/2012,10006000000,42338000000,315000000,,488000000,-754000000,-927000000,12067000000,1.5314E+11,,5614000000,,,,2020000000,22250000000,,338000000,221000000,,,39803000000,19892000000,1.34254E+11,1.5314E+11,,63758000000,551000000,,,19277000000,,11418000000,17557000000,,,3576000000,,,,3635000000,7525000000,3314000000,,,18886000000,4601000000,,
2/25/2014,12/31/2013,10615000000,43777000000,63000000,,399000000,-1090000000,-1426000000,12202000000,1.53375E+11,,5016000000,,,,2212000000,19486000000,,498000000,213000000,,,41763000000,16776000000,1.33879E+11,1.53375E+11,,65977000000,608000000,,,18690000000,,11228000000,16910000000,,,3408000000,,,,3875000000,8507000000,5021000000,,,19496000000,4240000000,,
2/24/2015,12/31/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18794000000,,,
2/24/2015,12/31/2011,,,,,,,-1000000,,,,,,,,,24893000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18794000000,,,
2/24/2015,12/31/2012,,,,,,,0,,,,4474000000,,,,,22250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18886000000,,,
2/24/2015,12/31/2013,10615000000,43777000000,63000000,,399000000,-1090000000,-1426000000,12202000000,1.53375E+11,,5016000000,,,,2212000000,19486000000,,498000000,213000000,,,41763000000,16776000000,1.33879E+11,1.53375E+11,,65977000000,608000000,,,18690000000,,11228000000,16910000000,,,3408000000,,0,,3875000000,8507000000,5021000000,,,19496000000,4240000000,,
2/24/2015,12/31/2014,11300000000,44386000000,96000000,,516000000,-1499000000,-1919000000,12874000000,1.59103E+11,,4431000000,,,,2628000000,22288000000,,470000000,205000000,,,44171000000,19190000000,1.3843E+11,1.59103E+11,,69184000000,920000000,,,19516000000,,11342000000,17851000000,,,2614000000,,0,,3938000000,9513000000,3480000000,,,20673000000,3673000000,,
