FilingDate,PeriodEnd,AAGMandatorilyConvertiblePreferredStock,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AirTrafficLiabilityCurrent,AirlineRelatedInventoryNet,Assets,AssetsCurrent,AvailableForSaleSecuritiesDebtSecuritiesCurrent,BankruptcySettlementObligations,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,CapitalLeasedAssetsGross,CapitalLeasesBalanceSheetAssetsByMajorClassNet,CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentGross,CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentNet,CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipment,CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipmentNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashFlowHedgeDerivativeInstrumentAssetsAtFairValue,CashFlowHedgeDerivativeInstrumentLiabilitiesAtFairValue,CommitmentsAndContingencies,CommonStockValue,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,DeferredAirTrafficRevenue,DeferredCreditsAndOtherLiabilities,DeferredCreditsAndOtherLiabilitiesNoncurrent,DeferredIncomeTaxAssetsNet,DeferredRevenueNoncurrent,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsLiabilitiesNetNoncurrent,Deferredgainsandcreditsnet,DepositsOnFlightEquipment,DueFromRelatedPartiesCurrent,EmployeeRelatedLiabilitiesCurrent,FlightEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,FlightEquipmentGross,FlightEquipmentOwnedAccumulatedDepreciation,FlightEquipmentOwnedGross,FlightEquipmentOwnedNet,FrequentFlierLiabilityCurrent,Goodwill,GroundPropertyAndEquipmentGross,IndefiniteLivedDomesticSlotsAndRoutes,IndefiniteLivedInternationalSlotsAndRoutes,IndefiniteLivedSlotsAndRoutes,IntangibleAssetsNetExcludingGoodwill,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesSubjectToCompromise,LongTermDebtAndCapitalLeaseObligations,LongTermDebtAndCapitalLeaseObligationsCurrent,LongTermDebtCurrent,LongTermDebtNoncurrent,MandatorilyConvertiblePreferredStock,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherAssetsCurrent,OtherAssetsMiscellaneousNoncurrent,OtherAssetsNoncurrent,OtherLiabilitiesNoncurrent,OtherSundryAssetsNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseAndOtherAssetsNoncurrent,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,PropertyPlantAndEquipmentOtherNet,ReceivablesNetCurrent,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RestrictedCashAndInvestmentsCurrent,RetainedEarningsAccumulatedDeficit,ShortTermInvestments,StockholdersEquity,TreasuryStockValue
2012-02-15,2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2935000000,
2012-02-15,2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3489000000,
2012-02-15,2010-12-31,,1156000000,,,1587000000,,-2755000000,4445000000,,594000000,25088000000,6838000000,,,,,824000000,244000000,580000000,,605000000,,219000000,168000000,,269000000,,,339000000,,,3656000000,11000000000,,,270000000,,,,375000000,,498000000,,,8081000000,20345000000,12264000000,,,,224000000,708000000,,,25088000000,8780000000,,,,,1776000000,8756000000,,,,,,3168000000,291000000,,2236000000,2853000000,,7877000000,,,,,,,,14838000000,5173000000,2974000000,2199000000,738000000,,450000000,-5607000000,4328000000,-3945000000,367000000
2012-02-15,2011-12-31,,1007000000,,,1358000000,,-3964000000,4465000000,,617000000,23848000000,6757000000,,,,,841000000,393000000,448000000,,641000000,,200000000,283000000,,97000000,2000000,4843000000,341000000,,,4223000000,10784000000,,,110000000,,,,746000000,,524000000,,,7095000000,18136000000,11041000000,,,,186000000,708000000,,,23848000000,8630000000,,,,,1518000000,6702000000,,,,,,2785000000,402000000,,1891000000,1470000000,,9204000000,,,,,,,,13913000000,5131000000,3005000000,2126000000,902000000,,738000000,-7586000000,3718000000,-7111000000,367000000
2013-02-20,2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5136000000,
2013-02-20,2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5607000000,
2013-02-20,2011-12-31,,1007000000,,,1358000000,,-3964000000,4465000000,,617000000,23848000000,6757000000,,,0,0,841000000,393000000,448000000,641000000,,200000000,,283000000,,97000000,2000000,,341000000,,,4223000000,10784000000,,,110000000,,,,746000000,,524000000,,,7095000000,18136000000,11041000000,,,,186000000,708000000,,,23848000000,8630000000,,4843000000,,,1518000000,6702000000,,,,,,2785000000,402000000,,1891000000,1470000000,,9204000000,0,,,,,,,13913000000,5131000000,3005000000,2126000000,902000000,,738000000,-7586000000,3718000000,-7111000000,367000000
2013-02-20,2012-12-31,,1244000000,,,1451000000,,-2980000000,4481000000,,580000000,23510000000,7072000000,,,31000000,381000000,488000000,283000000,205000000,287000000,,201000000,,480000000,,65000000,0,,341000000,,,4524000000,8471000000,,,223000000,,,,710000000,,666000000,,,7624000000,17934000000,10310000000,,,,161000000,708000000,,,23510000000,9304000000,,6606000000,,,1388000000,6735000000,,,,,,3036000000,561000000,,2167000000,1468000000,,6780000000,0,,,,,,,13119000000,5101000000,3002000000,2099000000,1124000000,,850000000,-9462000000,3412000000,-7987000000,367000000
2013-04-15,2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3489000000,
2013-04-15,2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3945000000,
