FilingDate,PeriodEnd,AdjustmentForAmortization,AmortizationOfDebtDiscountPremiumAndLeasedAssets,AmortizationOfFinancingCostsAndDiscounts,AmrOthercomprehensiveincomebenefitplanmodifications,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,Depreciation,DepreciationDepletionAndAmortization,FundsTransferredToAffiliatesNet,FundsTransferredtoAffiliatesInvestingActivities,GainLossOnDispositionOfPropertyPlantEquipmentAndSaleAndLeasebackTransactionNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAirTrafficLiability1,IncreaseDecreaseInCommodityContractAssetsAndLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInFrequentFlyerLiability,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherLiabilitiesAndDeferredCredits,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInPensionPlanObligations,IncreaseDecreaseInReceivables,IncreaseDecreaseInRestrictedCashAndInvestments,IncreaseDecreaseInRestrictedCashAndShortTermInvestments,IncreaseDecreaseOfRestrictedInvestments,InterestExpenseNonCash,Interestexpensenoncash,MainlineAndExpressDepreciationAndAmortization,NetCashProceedsFromSlotTransaction,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherComprehensiveIncomeLossTax,OtherNoncashIncomeExpense,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForProceedsFromProductiveAssets,PaymentsForProceedsFromShortTermInvestments,PaymentsForRepurchaseOfCommonStock,PaymentsOfDebtIssuanceCosts,PaymentsOfFinancingCosts,PaymentsOfOrdinaryDividends,PaymentsToAcquireEquityMethodInvestments,PaymentsToAcquireProductiveAssets,PaymentsToAcquireShortTermInvestments,PensionAndOtherPostretirementBenefitExpense,PensionAndOtherPostretirementBenefitsExpenseReversalOfExpenseNoncash,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromSaleLeasebackTransactions,ProceedsFromSaleOfIntangibleAssets,ProceedsFromSaleOfOtherInvestments,ProceedsFromSaleOfProductiveAssets,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeaseBackTransactions,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeasebackTransactions,ProceedsFromSaleOfShortTermInvestments,ProceedsFromStockOptionsExercised,ProceedsFromVendor,ReimbursementFromConstructionReserveAccount,ReorganizationItemsNonCash,RepaymentsOfDebtAndCapitalLeaseObligations,RepaymentsOfLongTermDebtAndCapitalLeaseObligations,SaleLeasebackTransactionNetProceeds,SaleLeasebackTransactionNetProceedsFinancingActivities,SaleLeasebackTransactionNetProceedsInvestingActivities,ShareBasedCompensation,SpecialCharges,SpecialChargesNonCash
2012-02-15,2008-12-31,,,,,,,191000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,2009-12-31,125000000,,,,,,153000000,-38000000,,,,,,979000000,,,,,-75000000,,-277000000,-561000000,,,,,79000000,,220000000,,-12000000,,-43000000,,-1000000,,,,,,1755000000,-2723000000,930000000,-1468000000,,,,,1330000000,,,,,,1521000000,,657000000,,2990000000,,,,,,76000000,,,,,1000000,,,,,2416000000,768000000,,,61000000,171000000,
2012-02-15,2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-505000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,2010-12-31,126000000,,,,,,168000000,15000000,,,,,,967000000,,,,,-19000000,,225000000,-87000000,,,,,81000000,,144000000,,45000000,,-29000000,,10000000,,,,,,804000000,-2030000000,1241000000,-471000000,,,,,82000000,,,,,,1962000000,,236000000,,542000000,,,,,,4000000,,,,,1000000,,,,,1154000000,1408000000,,,43000000,,
2012-02-15,2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-436000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-286000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-162000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,2011-12-31,132000000,,,,,,283000000,115000000,,,,,,954000000,,,,,-354000000,,567000000,73000000,,,,,64000000,,199000000,,-399000000,,164000000,,-288000000,,,,,,727000000,-1292000000,680000000,-1979000000,,,,,-610000000,,,,,,1610000000,,180000000,,2569000000,,,,,,-4000000,,,,,,,,,,2545000000,703000000,,,40000000,725000000,
2013-02-20,2009-12-31,,,,,,,153000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,2010-12-31,126000000,,,0,,,168000000,15000000,,,,,,967000000,,,,,-19000000,,225000000,-87000000,,,,,81000000,-102000000,144000000,,-57000000,,-29000000,,10000000,,,,,,804000000,-2030000000,1241000000,-471000000,0,,,,82000000,,,,,,1962000000,,236000000,,542000000,,,,,,4000000,,,,,1000000,,7000000,0,,1154000000,1408000000,,,43000000,,0
2013-02-20,2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-436000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-286000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
