FilingDate,PeriodEnd,AircraftMaintenanceMaterialsAndRepairs,AircraftRental,AirlineCapacityPurchaseArrangements,CargoAndFreightRevenue,CommonStockDividendsPerShareDeclared,CostOfServicesCatering,CostsAndExpenses,DepreciationAndAmortization,EarningsPerShareBasic,EarningsPerShareDiluted,FuelCosts,IncomeLossBeforeReorganizationItemsNet,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,InterestCostsCapitalized,InterestExpense,InterestExpenseRelatedParty,InvestmentIncomeInterest,LaborAndRelatedExpense,LandingFeesAndOtherRentals,NetIncomeLoss,NonoperatingIncomeExpense,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherNonoperatingIncomeExpense,OtherSalesRevenueNet,PassengerRevenueMainline,PassengerRevenueRegional,RegionalOperatingExpenses,ReorganizationItems,RestructuringAndOther,RestructuringAndOtherExpenseIncomeMainline,RestructuringAndOtherMainline,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,SalesRevenueServicesGross,SalesRevenueServicesNet,SellingAndMarketingExpense,SellingExpense,SpecialCharges,SpecialItemsNet,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2012-02-15,2009-12-31,1280000000,505000000,,578000000,,487000000,20921000000,1104000000,-4.99,-4.99,5553000000,-1752000000,,-1752000000,-284000000,-42000000,744000000,,34000000,6807000000,1353000000,-1468000000,-748000000,-1004000000,2808000000,-80000000,2290000000,15037000000,2012000000,,,,,,,,,19917000000,,853000000,171000000,,,
2012-02-15,2010-03-31,,,,,,,,,-1.52,-1.52,,,,,,,,,,,,-505000000,,-298000000,,,,,,,,,,,,,,5068000000,,,,,,
2012-02-15,2010-06-30,,,,,,,,,-0.03,-0.03,,,,,,,,,,,,-11000000,,196000000,,,,,,,,,,,,,,5674000000,,,,,,
2012-02-15,2010-09-30,,,,,,,,,0.43,0.39,,,,,,,,,,,,143000000,,342000000,,,,,,,,,,,,,,5842000000,,,,,,
2012-02-15,2010-12-31,1329000000,580000000,,672000000,,490000000,21862000000,1093000000,-1.41,-1.41,6400000000,-506000000,,-506000000,-35000000,-31000000,823000000,,26000000,6847000000,1418000000,-471000000,-814000000,308000000,2729000000,-48000000,2411000000,16760000000,2327000000,,,,,,,,,22170000000,,976000000,,,,
2012-02-15,2011-03-31,,,,,,,,,-1.31,-1.31,,,,,,,,,,,,-436000000,,-232000000,,,,,,,,,,,,,,5533000000,,,,,,
2012-02-15,2011-06-30,,,,,,,,,-0.85,-0.85,,,,,,,,,,,,-286000000,,-78000000,,,,,,,,,,,,,,6114000000,,,,,,
2012-02-15,2011-09-30,,,,,,,,,-0.48,-0.48,,,,,,,,,,,,-162000000,,39000000,,,,,,,,,,,,,,6376000000,,,,,,
2012-02-15,2011-12-31,1284000000,662000000,,703000000,,518000000,25033000000,1086000000,-5.91,-5.91,8304000000,-1861000000,,-1979000000,0,-40000000,826000000,,26000000,7053000000,1432000000,-1979000000,-807000000,-1054000000,2907000000,-47000000,2605000000,17947000000,2724000000,,,,,,,,,23979000000,,1062000000,725000000,,,
2013-02-20,2010-12-31,1093000000,580000000,,672000000,,490000000,21862000000,1329000000,-1.41,-1.41,6400000000,-506000000,,-506000000,-35000000,-31000000,823000000,,26000000,6847000000,1418000000,-471000000,-814000000,308000000,2729000000,-48000000,2411000000,16760000000,2327000000,,0,,,,,,,22170000000,,976000000,0,,,
