FilingDate,PeriodEnd,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,Assets,AssetsCurrent,AssetsNoncurrent,AvailableForSaleSecuritiesCurrent,AvailableForSaleSecuritiesDebtSecuritiesCurrent,AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,AvailableForSaleSecuritiesNoncurrent,CashAndCashEquivalentsAtCarryingValue,CommercialPaper,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStocksIncludingAdditionalPaidInCapital,ContractWithCustomerLiabilityCurrent,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsLiabilitiesNetCurrent,DeferredTaxAssetsNetCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoncurrent,MarketableSecuritiesCurrent,MarketableSecuritiesNoncurrent,NontradeReceivablesCurrent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentAndCapitalizedSoftwareNet,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity
27-10-2009,30-09-2006,,,,,,,,,,,,6392000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9984000000
27-10-2009,29-09-2007,,,,,,,,,,,,9352000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14532000000
27-10-2009,27-09-2008,5520000000,2422000000,3719000000,8000000,39572000000,32311000000,,10236000000,,,2379000000,11875000000,,,,7177000000,,,4853000000,3029000000,,1447000000,207000000,285000000,509000000,18542000000,39572000000,14092000000,,,,,,,,5822000000,1935000000,,1421000000,2455000000,,13845000000,21030000000
27-10-2009,26-09-2009,5601000000,3361000000,3376000000,84000000,53851000000,36265000000,,18201000000,,,10528000000,5263000000,,,,8210000000,,,10305000000,4485000000,,2101000000,206000000,247000000,455000000,26019000000,53851000000,19282000000,,,,,,,,6884000000,3651000000,,2252000000,2954000000,,19538000000,27832000000
25-01-2010,30-09-2006,,,,,,,,,,,,6392000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9984000000
25-01-2010,29-09-2007,,,,,,,,,,,,9352000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14531000000
25-01-2010,27-09-2008,5520000000,2422000000,4224000000,-9000000,36171000000,30006000000,,10236000000,,,2379000000,11875000000,,,,7177000000,,,1617000000,768000000,,1044000000,207000000,285000000,509000000,13874000000,36171000000,11361000000,,,,,,,,3920000000,839000000,,1745000000,2455000000,,15129000000,22297000000
25-01-2010,26-09-2009,5601000000,3361000000,3852000000,77000000,47501000000,31555000000,,18201000000,,,10528000000,5263000000,,,,8210000000,,,2053000000,853000000,,1135000000,206000000,247000000,455000000,15861000000,47501000000,11506000000,,,,,,,,3140000000,2011000000,,3502000000,2954000000,,23353000000,31640000000
27-10-2010,29-09-2007,,,,,,,,,,,,9352000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14531000000
27-10-2010,27-09-2008,,,,-9000000,36171000000,,,,,,,11875000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22297000000
