Item,Value,Period Start,Period End,Instant,Unit,Decimals
NetIncomeLoss,27132000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,26515000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,27528000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,27528000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,26515000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,27132000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,10759000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,11593000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,12516000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,4263000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,3947000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,4675000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,8136000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,10248000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,7807000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,5622000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,4678000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,4182000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,-1648000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,-3951000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,-1652000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,27132000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,26515000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,27528000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,24594000000,2024-01-01,2024-12-31,,usd,-6
NetIncomeLoss,23656000000,2023-01-01,2023-12-31,,usd,-6
NetIncomeLoss,25607000000,2022-01-01,2022-12-31,,usd,-6
NetIncomeLoss,1176000000,2024-01-01,2024-12-31,,usd,-6
