FilingDate,PeriodEnd,BrokerageClearingExchangeAndDistributionFees,BrokerageCommissionsRevenue,BusinessDevelopment,ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge1,CommissionsAndFees,CommunicationsAndInformationTechnology,DepreciationAndAmortization,DepreciationAndAmortizationIS,DerivativeGainLossOnDerivativeNet,EarningsPerShareBasic,EarningsPerShareDiluted,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,InsuranceReserve,InsuranceReserves,InterestAndDividendIncomeOperating,InterestExpense,InterestExpenseIS,InterestExpenseOperating,InterestIncome,InterestIncomeExpenseNet,InvestmentBanking,InvestmentBankingRevenue,InvestmentManagement,LaborAndRelatedExpense,MarketMaking,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetInterestIncomeExpense,NetRevenuesIncludingNetInterestIncome,NonCompensationExpenses,NonInterestRevenues,NoninterestExpense,NoninterestIncome,Occupancy,OccupancyNet,OtherNoninterestExpense,OtherPrincipalTransactions,PreferredStockDividendsIncomeStatementImpact,ProfessionalFees,ProfessionalFeesIS,ProvisionForLoanLeaseAndOtherLosses,RevenuesNetOfInterestExpense,TransactionBased,UKBankPayrollTax,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2012-02-28,2009-12-31,2298000000,,342000000,,3840000000,709000000,,1734000000,,23.74,22.13,19829000000,6444000000,,334000000,,,6500000000,,13907000000,,4984000000,,4233000000,16193000000,22088000000,13385000000,12192000000,7407000000,45173000000,9151000000,37766000000,25344000000,,950000000,,2106000000,2621000000,1193000000,,678000000,,,,,550900000,512300000
2012-02-28,2010-12-31,2281000000,,530000000,,3569000000,758000000,,1889000000,,14.15,13.18,12892000000,4538000000,,398000000,,,6806000000,,12309000000,,4810000000,,4669000000,15376000000,13678000000,8354000000,7713000000,5503000000,39161000000,10428000000,33658000000,26269000000,,1086000000,,2559000000,6932000000,641000000,,927000000,,,,,585300000,542000000
2012-02-28,2011-12-31,2463000000,,640000000,,3773000000,828000000,,1865000000,,4.71,4.51,6169000000,1727000000,,529000000,,,7982000000,,13174000000,,4361000000,,4691000000,12223000000,9287000000,4442000000,2510000000,5192000000,28811000000,10419000000,23619000000,22642000000,,1030000000,,2072000000,1507000000,1932000000,,992000000,,,,,556900000,524600000
2013-02-28,2010-12-31,2281000000,,530000000,,3569000000,758000000,,1889000000,,14.15,13.18,12892000000,4538000000,,398000000,,,6806000000,,12309000000,,4810000000,,4669000000,15376000000,13678000000,8354000000,7713000000,5503000000,39161000000,10428000000,33658000000,26269000000,,1086000000,,2559000000,6932000000,641000000,,927000000,,,,465000000,585300000,542000000
2013-02-28,2011-12-31,2463000000,,640000000,,3773000000,828000000,,1865000000,,4.71,4.51,6169000000,1727000000,,529000000,,,7982000000,,13174000000,,4361000000,,4691000000,12223000000,9287000000,4442000000,2510000000,5192000000,28811000000,10419000000,23619000000,22642000000,,1030000000,,2072000000,1507000000,1932000000,,992000000,,,,0,556900000,524600000
2013-02-28,2012-12-31,2208000000,,509000000,,3161000000,782000000,,1738000000,,14.63,14.13,11207000000,3732000000,,598000000,,,7501000000,,11381000000,,4941000000,,4968000000,12944000000,11348000000,7475000000,7292000000,3880000000,34163000000,10012000000,30283000000,22956000000,,875000000,,2435000000,5865000000,183000000,,867000000,,,,0,516100000,496200000
2014-02-27,2011-12-31,2463000000,3773000000,640000000,,,828000000,1865000000,,,4.71,4.51,6169000000,1727000000,,529000000,13174000000,7982000000,,,,5192000000,,4361000000,4691000000,12223000000,9287000000,4442000000,2510000000,,,10419000000,,22642000000,23619000000,,1030000000,2072000000,1507000000,1932000000,992000000,,,28811000000,,,556900000,524600000
2014-02-27,2012-12-31,2208000000,3161000000,509000000,,,782000000,1738000000,,,14.63,14.13,11207000000,3732000000,,598000000,11381000000,7501000000,,,,3880000000,,4941000000,4968000000,12944000000,11348000000,7475000000,7292000000,,,10012000000,,22956000000,30283000000,,875000000,2435000000,5865000000,183000000,867000000,,,34163000000,,,516100000,496200000
2014-02-27,2013-12-31,2341000000,3255000000,541000000,,,776000000,1322000000,,,16.34,15.46,11737000000,3697000000,,176000000,10060000000,6668000000,,,,3392000000,,6004000000,5194000000,12613000000,9368000000,8040000000,7726000000,,,9856000000,,22469000000,30814000000,,839000000,2931000000,6993000000,314000000,930000000,,,34206000000,,,499600000,471300000
2015-02-20,2012-12-31,2208000000,3161000000,509000000,,,782000000,1738000000,,,14.63,14.13,11207000000,3732000000,598000000,,11381000000,7501000000,,,,3880000000,,4941000000,4968000000,12944000000,11348000000,7475000000,7292000000,,,10012000000,,22956000000,30283000000,,875000000,2435000000,5865000000,183000000,867000000,,,34163000000,,,516100000,496200000
