FilingDate,PeriodEnd,AllocatedShareBasedCompensationExpense,ChargeRelatedToResolutionOfInvestigation,CostOfRevenue,CostsAndExpenses,EarningsPerShareBasic,EarningsPerShareDiluted,GeneralAndAdministrativeExpense,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,IncomeTaxExpenseBenefit,LossContingencyLossInPeriod,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,OperatingIncomeLoss,OtherNonoperatingIncome,PreferredStockDividendsAndOtherAdjustments,ResearchAndDevelopmentExpense,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet,SellingAndMarketingExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
12-02-2010,31-12-2007,,,6649085000,11509586000,13.53,13.29,1279250000,0,,,5673980000,,,,,,1470260000,,4203720000,,,5084400000,589580000,,2119985000,,,16593986000,1461266000,,
12-02-2010,31-12-2008,,,8621506000,15163581000,13.46,13.31,1802639000,1094757000,,,5853596000,,,,,,1626738000,,4226858000,,,6631969000,316384000,,2793192000,,,21795550000,1946244000,,
12-02-2010,31-12-2009,,,8844115000,15338377000,20.62,20.41,1667294000,0,,,8381189000,,,,,,1860741000,,6520448000,,,8312186000,69003000,,2843027000,,,23650563000,1983941000,,
11-02-2011,31-12-2008,,,8622000000,15164000000,13.46,13.31,1803000000,1095000000,,,5853000000,,,,,,1626000000,,4227000000,,316000000,6632000000,,,2793000000,,,21796000000,1946000000,,
11-02-2011,31-12-2009,,,8844000000,15339000000,20.62,20.41,1668000000,0,,,8381000000,,,,,,1861000000,,6520000000,,69000000,8312000000,,,2843000000,,,23651000000,1984000000,,
11-02-2011,31-12-2010,,,10417000000,18940000000,26.69,26.31,1962000000,0,,,10796000000,,,,,,2291000000,,8505000000,,415000000,10381000000,,,3762000000,,,29321000000,2799000000,,
26-01-2012,31-12-2009,,0,8844000000,15339000000,20.62,20.41,1668000000,,,,8381000000,,,,,,1861000000,,6520000000,,69000000,8312000000,,,2843000000,,,23651000000,1984000000,,
26-01-2012,31-12-2010,,0,10417000000,18940000000,26.69,26.31,1962000000,,,,10796000000,,,,,,2291000000,,8505000000,,415000000,10381000000,,,3762000000,,,29321000000,2799000000,,
26-01-2012,31-03-2011,,500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2012,31-12-2011,,500000000,13188000000,26163000000,30.17,29.76,2724000000,,,,12326000000,,,,,,2589000000,,9737000000,,584000000,11742000000,,,5162000000,,,37905000000,4589000000,,
29-01-2013,31-12-2010,,0,0,18940000000,26.69,26.31,1962000000,,8505000000,,10796000000,26.69,26.31,0,0,0,2291000000,,8505000000,,415000000,10381000000,,,3762000000,,29321000000,,2799000000,,
29-01-2013,31-12-2011,,500000000,0,26163000000,30.17,29.76,2724000000,,9737000000,,12326000000,30.17,29.76,0,0,0,2589000000,,9737000000,,584000000,11742000000,,,5162000000,,37905000000,,4589000000,,
29-01-2013,31-12-2012,,0,3458000000,37415000000,32.81,32.31,3845000000,,10788000000,,13386000000,32.97,32.46,-51000000,-0.16,-0.15,2598000000,,10737000000,,626000000,12760000000,,,6793000000,,50175000000,,6143000000,,
11-02-2014,31-12-2011,1974000000,500000000,0,26163000000,30.17,29.76,2724000000,,9737000000,,12326000000,30.17,29.76,0,0,0,2589000000,,9737000000,,584000000,11742000000,,,5162000000,,0,,4589000000,,
11-02-2014,31-12-2012,453000000,0,17176000000,37415000000,32.81,32.31,3845000000,,10788000000,,13386000000,32.97,32.46,-51000000,-0.16,-0.15,2598000000,,10737000000,,626000000,12760000000,,,6793000000,,46039000000,,6143000000,,
11-02-2014,31-12-2013,578000000,0,3865000000,45859000000,38.82,38.13,4796000000,,12214000000,,14496000000,36.7,36.05,706000000,2.12,2.08,2282000000,,12920000000,,530000000,13966000000,,,7952000000,,59825000000,,7253000000,,
06-02-2015,31-12-2012,2692000000,,17176000000,32205000000,16.41,16.16,3481000000,,11553000000,,14469000000,17.66,17.39,-816000000,-1.25,-1.23,2916000000,,10737000000,,635000000,13834000000,,,6083000000,,46039000000,,5465000000,664610000,654426000
06-02-2015,31-12-2013,3343000000,,21993000000,40116000000,19.41,19.07,4432000000,,13347000000,,15899000000,20.05,19.7,-427000000,-0.64,-0.63,2552000000,,12920000000,,496000000,15403000000,,,7137000000,,55519000000,,6554000000,677618000,665692000
06-02-2015,31-12-2014,4279000000,,25691000000,49505000000,21.37,21.02,5851000000,,13928000000,,17259000000,20.61,20.27,516000000,0.76,0.75,3331000000,,14444000000,,763000000,16496000000,,,9832000000,,66001000000,,8131000000,687070000,675935000
11-02-2016,31-12-2013,,,21993000000,40116000000,19.13,18.79,4432000000,,13160000000,,15899000000,19.77,19.42,-427000000,-0.64,-0.63,2739000000,,12733000000,12733000000,496000000,15403000000,,0,7137000000,,55519000000,,6554000000,,
11-02-2016,31-12-2014,,,25691000000,49505000000,20.91,20.57,5851000000,,13620000000,,17259000000,20.15,19.82,516000000,0.76,0.75,3639000000,,14136000000,14136000000,763000000,16496000000,,0,9832000000,,66001000000,,8131000000,,
11-02-2016,31-12-2015,,,28164000000,55629000000,24.63,24.34,6136000000,,16348000000,,19651000000,24.63,24.34,0,0,0,3303000000,,16348000000,15826000000,291000000,19360000000,,522000000,12282000000,,74989000000,,9047000000,,
02-02-2017,31-12-2014,,,25691000000,49505000000,20.91,20.57,5851000000,,13620000000,,17259000000,20.15,19.82,516000000,0.76,0.75,3639000000,,14136000000,14136000000,763000000,16496000000,,0,9832000000,,66001000000,,8131000000,,
02-02-2017,31-12-2015,,,28164000000,55629000000,24.63,24.34,6136000000,,16348000000,,19651000000,24.63,24.34,0,0,0,3303000000,,16348000000,15826000000,291000000,19360000000,,522000000,12282000000,,74989000000,,9047000000,,
02-02-2017,31-12-2016,,,35138000000,66556000000,28.32,27.85,6985000000,,19478000000,,24150000000,28.32,27.85,0,0,0,4672000000,,19478000000,19478000000,434000000,23716000000,,0,13948000000,,90272000000,,10485000000,,
05-02-2018,31-12-2015,,,28164000000,55629000000,24.63,24.34,6136000000,,,,19651000000,,,,,,3303000000,0,16348000000,15826000000,291000000,19360000000,,522000000,12282000000,,74989000000,,9047000000,,
05-02-2018,31-12-2016,,,35138000000,66556000000,28.32,27.85,6985000000,,,,24150000000,,,,,,4672000000,0,19478000000,19478000000,434000000,23716000000,,0,13948000000,,90272000000,,10485000000,,
05-02-2018,27-06-2017,,,,,,,,,,,,,,,,,,2740000000,,,,,,,,,,,,,
05-02-2018,31-12-2017,,,45583000000,84709000000,18.27,18,6872000000,,,,27193000000,,,,,,14531000000,2736000000,12662000000,12662000000,1047000000,26146000000,,0,16625000000,,1.10855E+11,,12893000000,,
04-02-2019,31-12-2016,,,35138000000,66556000000,28.32,27.85,6985000000,,,,24150000000,,,,,,4672000000,0,19478000000,,434000000,23716000000,,,13948000000,90272000000,,,10485000000,,
04-02-2019,30-06-2017,,,,,,,,,,,,,,,,,,2400000000,,,,,,,,,,,,,
04-02-2019,31-12-2017,,,45583000000,84709000000,18.27,18,6872000000,,,,27193000000,,,,,,14531000000,2736000000,12662000000,,1047000000,26146000000,,,16625000000,1.10855E+11,,,12893000000,,
04-02-2019,31-03-2018,,,,,,,,,,,,,,,,,,21000000,,,,,,,,,,,,,
04-02-2019,30-06-2018,,,,,,,,,,,,,,,,,,4300000000,,,,,,,,,,,,,
04-02-2019,31-12-2018,,,59549000000,1.10498E+11,44.22,43.7,8126000000,,,,34913000000,,,,,,4177000000,5071000000,30736000000,,8592000000,26321000000,,,21419000000,1.36819E+11,,,16333000000,,
03-02-2020,27-06-2017,,,,,,,,,,,,,,,,,,2400000000,,,,,,,,,,,,,
03-02-2020,30-06-2017,,,,,,,,,,,,,,,,,,2700000000,,,,,,,,,,,,,
03-02-2020,31-12-2017,,,45583000000,84677000000,18.27,18,6840000000,,,,27193000000,,,,,,14531000000,2736000000,12662000000,,1015000000,26178000000,,,16625000000,1.10855E+11,,,12893000000,,
03-02-2020,30-06-2018,,,,,,,,,,,,,,,,,,4300000000,,,,,,,,,,,,,
03-02-2020,31-12-2018,,,59549000000,1.09295E+11,44.22,43.7,6923000000,,,,34913000000,,,,,,4177000000,5071000000,30736000000,,7389000000,27524000000,,,21419000000,1.36819E+11,,,16333000000,,
03-02-2020,20-03-2019,,,,,,,,,,,,,,,,,,1500000000,,,,,,,,,,,,,
03-02-2020,31-03-2019,,,,,,,,,,,,,,,,,,1700000000,,,,,,,,,,,,,
03-02-2020,31-12-2019,,,71896000000,1.27626E+11,49.59,49.16,9551000000,,,,39625000000,,,,,,5282000000,1697000000,34343000000,,5394000000,34231000000,,,26018000000,1.61857E+11,,,18464000000,,
01-02-2022,27-06-2017,,,,,,,,,,,,,,,,,,2400000000,,,,,,,,,,,,,
01-02-2022,30-06-2018,,,,,,,,,,,,,,,,,,4300000000,,,,,,,,,,,,,
01-02-2022,20-03-2019,,,,,,,,,,,,,,,,,,1500000000,,,,,,,,,,,,,
01-02-2022,31-12-2019,,,71896000000,1.27626E+11,49.59,49.16,9551000000,,,39625000000,,,,,,,5282000000,1697000000,34343000000,,5394000000,34231000000,,,26018000000,,1.61857E+11,,18464000000,,
01-02-2022,31-12-2020,,,84732000000,1.41303E+11,59.15,58.61,11052000000,,,48082000000,,,,,,,7813000000,0,40269000000,,6858000000,41224000000,,,27573000000,,1.82527E+11,,17946000000,,
01-02-2022,31-12-2021,,,1.10939E+11,1.78923E+11,113.88,112.2,13510000000,,,90734000000,,,,,,,14701000000,0,76033000000,,12020000000,78714000000,,,31562000000,,2.57637E+11,,22912000000,,
02-02-2023,31-12-2020,,,84732000000,1.41303E+11,2.96,2.93,11052000000,,,48082000000,,,,,,,7813000000,,40269000000,,6858000000,41224000000,,,27573000000,1.82527E+11,,,17946000000,,
02-02-2023,31-12-2021,,,1.10939E+11,1.78923E+11,5.69,5.61,13510000000,,,90734000000,,,,,,,14701000000,,76033000000,,12020000000,78714000000,,,31562000000,2.57637E+11,,,22912000000,,
02-02-2023,31-12-2022,,,1.26203E+11,2.07994E+11,4.59,4.56,15724000000,,,71328000000,,,,,,,11356000000,,59972000000,,-3514000000,74842000000,,,39500000000,2.82836E+11,,,26567000000,,
30-01-2024,31-12-2021,,,1.10939E+11,1.78923E+11,5.69,5.61,13510000000,,,90734000000,,,,,,,14701000000,,76033000000,,12020000000,78714000000,,,31562000000,2.57637E+11,,,22912000000,,
30-01-2024,31-12-2022,,,1.26203E+11,2.07994E+11,4.59,4.56,15724000000,,,71328000000,,,,,,,11356000000,,59972000000,,-3514000000,74842000000,,,39500000000,2.82836E+11,,,26567000000,,
30-01-2024,31-12-2023,,,1.33332E+11,2.23101E+11,5.84,5.8,16425000000,,,85717000000,,,,,,,11922000000,,73795000000,,1424000000,84293000000,,,45427000000,3.07394E+11,,,27917000000,,
04-02-2025,31-12-2022,,,1.26203E+11,2.07994E+11,4.59,4.56,15724000000,,,71328000000,,,,,,,11356000000,,59972000000,,-3514000000,74842000000,,,39500000000,2.82836E+11,,,26567000000,,
04-02-2025,31-12-2023,,,1.33332E+11,2.23101E+11,5.84,5.8,16425000000,,,85717000000,,,,,,,11922000000,,73795000000,,1424000000,84293000000,,,45427000000,3.07394E+11,,,27917000000,,
04-02-2025,31-12-2024,,,1.46306E+11,2.37628E+11,8.13,8.04,14188000000,,,1.19815E+11,,,,,,,19697000000,,1.00118E+11,,7425000000,1.1239E+11,,,49326000000,3.50018E+11,,,27808000000,,
