FilingDate,PeriodEnd,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccruedInterestAndAccountsReceivable,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,Assets,AvailableForSaleSecuritiesAndHeldToMaturitySecurities,AvailableForSaleSecuritiesDebtSecurities,BeneficialInterest,CashAndDueFromBanks,CommercialPaper,CommonStockHeldInTrust,CommonStockValue,DebtSecuritiesAvailableForSaleAndHeldToMaturity,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,DebtSecuritiesHeldToMaturityExcludingAccruedInterestAfterAllowanceForCreditLoss,DebtSecuritiesHeldToMaturityNetOfAllowanceForCreditLosses,DebtSecuritiesNetCarryingAmount,Deposits,FederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchase,FederalFundsPurchasedSecuritiesSoldUnderAgreementsToRepurchase,FederalFundsPurchasedSecuritiesSoldUnderAgreementsToRepurchaseAndSecuritiesLoaned,FederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell,FederalHomeLoanBankAdvancesAndOtherShortTermBorrowings,FinancingReceivableAllowanceForCreditLossExcludingAccruedInterest,FinancingReceivableAllowanceForCreditLosses,FinancingReceivableBeforeAllowanceForCreditLossesNetofDeferredIncome,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLossesNetOfDeferredIncome,Goodwill,GoodwillServicingAssetsatFairValueandOtherIntangibleAssets,InterestBearingDepositsInBanks,Liabilities,LiabilitiesAndStockholdersEquity,LimitedProgramWideCreditEnhancement,LoansAndLeasesReceivableAllowance,LoansAndLeasesReceivableNetOfDeferredIncome,LoansAndLeasesReceivableNetReportedAmount,LoansReceivableNet,LoansReceivableNetofDeferredIncome,LongTermDebt,LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,NotesReceivableNet,OtherAssets,OtherIntangibleAssetsNet,OtherLiabilities,OtherShortTermBorrowings,PreferredStockIncludingAdditionalPaidInCapitalNetOfDiscount,PropertyPlantAndEquipmentAndOperatingLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Securities,SecuritiesBorrowed,SecuritiesBorrowedGrossIncludingNotSubjectToMasterNettingArrangement,ServicingAssetAtFairValueAmount,ShortTermBorrowings,StockholdersEquity,TradingAssets,TradingLiabilities,TreasuryStockCommonValue,TreasuryStockValue
2012-02-29,2008-12-31,,,-202000000,,,,,,26895000000,,,,,,,,,,,,,,,,,,,,48027000000,,,,,,7692000000,,,,,,,,,,,,,,,,,,,9403000000,,,,,,
2012-02-29,2009-12-31,,,-16000000,,60901000000,,,,26206000000,,,,,,,,,,,,,,,,,,,,14451000000,,,9107000000,,,9672000000,0,,,,,,,,691000000,,,,,,,,,,15531000000,,160845000000,,,,
2012-02-29,2010-12-31,170330000000,70147000000,1001000000,97415000000,108918000000,,,77649000000,27567000000,35363000000,53000000,4105000000,,,,,,930369000000,,,276644000000,222554000000,34325000000,,,,,,48854000000,,21673000000,79571000000,2117605000000,2000000000,32266000000,95587000000,660661000000,,,270653000000,,,3494000000,4039000000,1922000000,,7800000000,,13355000000,73998000000,316336000000,123587000000,,13649000000,,176106000000,9837000000,146166000000,,8160000000
2012-02-29,2011-12-31,202895000000,61478000000,944000000,95602000000,101471000000,,,65977000000,59602000000,51631000000,38000000,4105000000,,,,,,1127806000000,,,213532000000,235314000000,21908000000,,,,,,48188000000,,85279000000,67464000000,2265792000000,3100000000,27609000000,86754000000,696111000000,,,256775000000,,,2638000000,3207000000,1487000000,,7800000000,,14041000000,88315000000,364793000000,142462000000,,7223000000,,183573000000,12079000000,141695000000,,13155000000
2013-02-28,2009-12-31,,,2032000000,,,,,,26206000000,,,,,,,,,,,,,,,,,,,,48357000000,,,,,,,,,,,,,,,,,,,,,,,,,15531000000,,,,,,
2013-02-28,2010-12-31,,,2498000000,,870631000000,,,,27567000000,,,,,,,,,,,,,,,,,,,,31018000000,,,,,,,,,,,,,,,1670000000,,,,,,,,,,13649000000,,,,,,
2013-02-28,2011-12-31,202895000000,61478000000,944000000,95602000000,2265792000000,364793000000,,65977000000,59602000000,51631000000,38000000,4105000000,,,,,,1127806000000,,213532000000,,235314000000,,,,,,,48188000000,,85279000000,2082219000000,2265792000000,,27609000000,723720000000,696111000000,,,256775000000,,,104131000000,3207000000,1487000000,21908000000,7800000000,,14041000000,88315000000,,142462000000,,7223000000,,183573000000,443963000000,141695000000,,13155000000
2013-02-28,2012-12-31,195240000000,60933000000,4102000000,94604000000,2359141000000,371152000000,,63191000000,53723000000,55367000000,21000000,4105000000,,,,,,1193593000000,,240103000000,,296296000000,,,,,,,48175000000,,121814000000,2155072000000,2359141000000,,21936000000,733796000000,711860000000,,,249024000000,,,101775000000,2235000000,1244000000,26636000000,9058000000,,14519000000,104223000000,,119017000000,,7614000000,,204069000000,450028000000,131918000000,,12002000000
2014-02-19,2010-12-31,,,1001000000,,,,,,27567000000,,,,,,,,,,,,,,,,,,,,48854000000,,,,,,,,,,,,,,,,,,,,,,,,,13649000000,,,,,,
2014-02-19,2011-12-31,,,-2646000000,,158040000000,,,,59602000000,,,,,,,,,,,,,,,,,,,,48188000000,,,,,,,,,,,,,,,602000000,,,,,,,,,,7223000000,,,,,,
2014-02-19,2012-12-31,195240000000,60933000000,4102000000,94604000000,96779000000,371152000000,,63191000000,53723000000,55367000000,21000000,4105000000,,,,,,1193593000000,,240103000000,,296296000000,,,,,,,48175000000,,121814000000,64435000000,2359141000000,,21936000000,82723000000,711860000000,,,249024000000,,,2090000000,2235000000,1244000000,26636000000,9058000000,,14519000000,104223000000,,119017000000,,7614000000,,204069000000,11966000000,131918000000,,12002000000
2014-02-19,2013-12-31,194491000000,65160000000,1199000000,93828000000,78606000000,354003000000,,49617000000,39771000000,57848000000,21000000,4105000000,,,,,,1287765000000,,181163000000,,248116000000,,,,,,,48081000000,,316051000000,50678000000,2415689000000,,16264000000,70072000000,722154000000,,,267889000000,,,2168000000,1618000000,1061000000,27994000000,11158000000,,14891000000,115756000000,,111465000000,,9614000000,,211178000000,6366000000,137744000000,,14847000000
2015-02-24,2011-12-31,,,-2646000000,,,,,,59602000000,,,,,,,,,,,,,,,,,,,,48188000000,,,,,,,,,,,,,,,,,,,,,,,,,7223000000,,,,,,
2015-02-24,2012-12-31,,,-2791000000,,2359141000000,,,,53723000000,,,,,,,,,,,,,,,,,,,,48175000000,,,,,,,,,,,,,,,,,,,,,,,,,7614000000,,,,,,
2015-02-24,2013-12-31,194491000000,65160000000,1199000000,93828000000,2415689000000,354003000000,,49617000000,39771000000,57848000000,21000000,4105000000,,,,,,1287765000000,,181163000000,,248116000000,,,,,,,48081000000,,316051000000,2204511000000,2415689000000,,16264000000,738418000000,722154000000,,,,267889000000,,110101000000,1618000000,11367000000,27994000000,11158000000,,14891000000,115756000000,,,111465000000,9614000000,,211178000000,374664000000,137744000000,,14847000000
2015-02-24,2014-12-31,206954000000,70079000000,2189000000,93270000000,2573126000000,348004000000,,52362000000,27831000000,66344000000,21000000,4105000000,,,,,,1363427000000,,192101000000,,215803000000,,,,,,,47647000000,,484477000000,2341061000000,2573126000000,,14185000000,757336000000,743151000000,,,,276836000000,,102950000000,1192000000,11918000000,30222000000,20063000000,,15133000000,130315000000,,,110435000000,7436000000,,232065000000,398988000000,152815000000,,17856000000
2016-02-23,2012-12-31,,,-2791000000,,,,,,53723000000,,,,,,,,,,,,,,,,,,,,48175000000,,,,,,,,,,,,,,,,,,,,,,,,,7614000000,,,,,,
2016-02-23,2013-12-31,,,-1324000000,,2414879000000,,,,39771000000,,,,,,,,,,,,,,,,,,,,48081000000,,,,,,,,,,,,,,,,,,,,,,,,,9614000000,,,,,,
2016-02-23,2014-12-31,206939000000,70079000000,2189000000,93270000000,2572274000000,348004000000,,52320000000,27831000000,66344000000,21000000,4105000000,,,,,,1363427000000,,192101000000,,215803000000,,,,,,,47647000000,,484477000000,2340547000000,2572274000000,,14185000000,757336000000,743151000000,,,,276379000000,,102098000000,1192000000,11918000000,30222000000,20063000000,,15133000000,129977000000,,,110435000000,7436000000,,231727000000,398988000000,152815000000,,17856000000
2016-02-23,2015-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-23,2015-12-31,177638000000,46605000000,192000000,92500000000,2351698000000,290827000000,,41879000000,20490000000,15562000000,21000000,4105000000,,,,,,1279715000000,,152678000000,,212575000000,,,,,,,47325000000,,340015000000,2104125000000,2351698000000,,13555000000,837299000000,823744000000,,,,288651000000,,105572000000,1015000000,11940000000,21105000000,26068000000,,14362000000,146420000000,,,98721000000,6608000000,,247573000000,343839000000,126897000000,,21691000000
2017-02-28,2013-12-31,,,,,,,,,39771000000,,,,,,,,,,,,,,,,,,,,48081000000,,,,,,,,,,,,,,,,,,,,,,,,,9614000000,,-21000000,,,,
2017-02-28,2014-12-31,,,,,2572274000000,,,,27831000000,,,,,,,,,,,,,,,,,,,,47647000000,,,,,,,,,,,,,,,,,,,,,,,,,7436000000,,231727000000,,,,
2017-02-28,2015-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,2015-12-31,177638000000,46605000000,192000000,92500000000,2351698000000,290827000000,,41879000000,20490000000,15562000000,21000000,4105000000,,,,,,1279715000000,,152678000000,,212575000000,,,,,,,47325000000,,340015000000,2104125000000,2351698000000,,13555000000,,,823744000000,837299000000,,288651000000,,105572000000,1015000000,11940000000,21105000000,26068000000,,14362000000,146420000000,,,98721000000,6608000000,,247573000000,343839000000,126897000000,,21691000000
2017-02-28,2016-12-31,190543000000,52330000000,-1175000000,91627000000,2490972000000,289059000000,,39047000000,23873000000,11738000000,21000000,4105000000,,,,,,1375179000000,,165666000000,,229967000000,,,,,,,47288000000,,365762000000,2236782000000,2490972000000,,13776000000,,,880989000000,894765000000,,295245000000,,112076000000,862000000,11224000000,22705000000,26068000000,,14131000000,162440000000,,,96409000000,6096000000,,254190000000,372130000000,136659000000,,28854000000
2018-02-27,2014-12-31,,,,,,,,,27831000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
2018-02-27,2015-12-31,,,,,2351698000000,,,,20490000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247573000000,,,,
2018-02-27,2016-12-31,190543000000,52330000000,-1175000000,91627000000,2490972000000,289059000000,,39047000000,23873000000,,21000000,4105000000,,,,,,1375179000000,,165666000000,,229967000000,,,,,,,,54246000000,365762000000,2236782000000,2490972000000,,13776000000,,,880989000000,894765000000,,295245000000,,112076000000,,11224000000,,26068000000,,14131000000,162440000000,,96409000000,,,34443000000,254190000000,372130000000,136659000000,,28854000000
2018-02-27,2017-12-31,189383000000,67729000000,-119000000,90579000000,2533600000000,249958000000,,26081000000,25827000000,,21000000,4105000000,,,,,,1443982000000,,158916000000,,198422000000,,,,,,,,54392000000,404294000000,2277907000000,2533600000000,,13604000000,,,917093000000,930697000000,,284080000000,,114770000000,,8302000000,,26068000000,,14159000000,177676000000,,105112000000,,,51802000000,255693000000,381844000000,123663000000,,42595000000
2019-02-26,2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26068000000,,,,
2019-02-26,2016-12-31,,,,,394134000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26068000000,,,,
2019-02-26,2017-12-31,189383000000,67729000000,-119000000,90579000000,2533600000000,,,26081000000,25898000000,,21000000,4105000000,249958000000,,,,,1443982000000,,158916000000,,198422000000,,,,,,,,54392000000,405406000000,2277907000000,2533600000000,,13604000000,,,917093000000,930697000000,,284080000000,,113587000000,,349000000,,26068000000,,14159000000,177676000000,,105112000000,,,51802000000,255693000000,381844000000,123663000000,,42595000000
