FilingDate,PeriodEnd,AmortizationOfIntangibleAssets,BusinessCombinationBargainPurchaseGainRecognizedAmount,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DeferredIncomeTaxExpenseBenefit,DepreciationAmortizationAndAccretionNet,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EquitySecuritiesGainLossOnShareExchange,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,GainLossOnInvestments,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndOtherLiabilities,IncreaseDecreaseInAccruedInterestsAndAccountsReceivable,IncreaseDecreaseInAssetBackedCommercialPaper,IncreaseDecreaseInBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,IncreaseDecreaseInCashCollateralForBorrowedSecurities,IncreaseDecreaseInDeposits,IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInTradingLiabilities,InterestPaid,InterestPaidNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherNoncashIncomeExpense,OtherOperatingActivitiesCashFlowStatement,PaymentsForOriginationAndPurchasesOfLoansHeldForSale,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStockAndWarrants,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStockIssuedToUsTreasury,PaymentsOfDividends,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireHeldToMaturitySecurities,PaymentsforOtherLoansandLeases,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromPaymentsForFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResellNet,ProceedsFromPaymentsForInInterestBearingDepositsInBanks,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromPaymentsForOtherLoansAndLeases,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfFinanceReceivables,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,ProceedsFromSalesSecuritizationsAndPaydownsOfLoansHeldForSale,ProceedsFromShortTermDebt,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLeaseAndOtherLossesExcludingAccountingPolicyConformity,RepaymentsOfLongTermDebtAndCapitalSecurities,RepaymentsOfShortTermDebt,ShareBasedCompensation,StockRedeemedOrCalledDuringPeriodValue
2012-02-29,2008-12-31,,,,,26895000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-29,2009-12-31,1050000000,,,-689000000,26206000000,,,-3622000000,3308000000,238000000,,,17000000,1110000000,5434000000,,-26450000000,6312000000,-11228000000,-4076000000,-4452000000,-107700000000,67785000000,-133488000000,-32557000000,-79314000000,16875000000,,-153079000000,29355000000,122797000000,11728000000,,6167000000,22417000000,97000000,-50651000000,762000000,,0,,25000000000,3422000000,346372000000,,,,,5756000000,51324000000,,87712000000,9000000,7082000000,74829000000,-2124000000,,-67198000000,,114041000000,,,31034000000,33902000000,,,32015000000,68441000000,,3355000000,0
2012-02-29,2010-12-31,936000000,,,1361000000,27567000000,,,-968000000,4029000000,328000000,,,26000000,2965000000,9747000000,,17325000000,-443000000,0,2426000000,3926000000,-9637000000,15202000000,72082000000,12452000000,19344000000,12404000000,,-49217000000,54002000000,-3752000000,17370000000,,6234000000,37085000000,4910000000,-3022000000,114000000,,2999000000,,0,1486000000,179487000000,,,,,0,55181000000,,92740000000,7000000,-26957000000,41625000000,-1666000000,,-6869000000,,118600000000,,,9476000000,40155000000,,,16639000000,99043000000,,3251000000,352000000
2012-02-29,2011-12-31,848000000,,,32035000000,59602000000,,,1693000000,4257000000,-851000000,,,867000000,1593000000,8153000000,,35203000000,-8655000000,0,1165000000,18936000000,203420000000,-63116000000,-36443000000,15456000000,7905000000,13725000000,,107706000000,-170752000000,95932000000,18976000000,,6157000000,52561000000,-102000000,58365000000,63000000,,8863000000,,0,3895000000,202309000000,,,,,0,54844000000,,86850000000,6000000,-12490000000,-63592000000,-1868000000,,7230000000,,68631000000,,,10478000000,54092000000,,,7574000000,82078000000,,2675000000,0
2013-02-28,2009-12-31,,,,,26206000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,2010-12-31,936000000,,,1361000000,27567000000,,,-968000000,4029000000,328000000,,,26000000,2965000000,9747000000,,17325000000,-443000000,,2426000000,3926000000,-9637000000,15202000000,72082000000,12452000000,19344000000,12404000000,,-49217000000,54002000000,-3752000000,17370000000,,6234000000,37085000000,4910000000,-3022000000,114000000,,2999000000,,,1486000000,179487000000,,,,,,55181000000,0,92740000000,7000000,-26957000000,41625000000,-1666000000,,-6869000000,,118600000000,,,9476000000,40155000000,,16639000000,,99043000000,,3251000000,352000000
2013-02-28,2011-12-31,848000000,,,32035000000,59602000000,,,1693000000,4257000000,-851000000,,,867000000,1593000000,8153000000,,35203000000,-8655000000,,1165000000,18936000000,203420000000,-63116000000,-36443000000,15456000000,7905000000,13725000000,,107706000000,-170752000000,95932000000,18976000000,,6157000000,52561000000,-102000000,58365000000,63000000,,8863000000,,,3895000000,202309000000,,,,,,54844000000,0,86850000000,6000000,-12490000000,-63592000000,-1868000000,,7230000000,,68631000000,,,10478000000,54092000000,,7574000000,,82078000000,,2675000000,0
2013-02-28,2012-12-31,957000000,,,-5879000000,53723000000,,,1130000000,4190000000,1160000000,,,255000000,2110000000,2050000000,,-13069000000,-1732000000,,345000000,-23455000000,67250000000,26546000000,5379000000,4683000000,-3921000000,11161000000,,87707000000,-119825000000,25079000000,21284000000,,-3613000000,34026000000,-88000000,30491000000,3400000000,,1653000000,,,5194000000,189630000000,,,,,,86271000000,1234000000,112633000000,4000000,-60821000000,-36595000000,-189000000,,9315000000,,81957000000,,,6430000000,33202000000,,3385000000,,96473000000,,2545000000,0
2014-02-19,2010-12-31,,,,,27567000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,2011-12-31,848000000,,,32035000000,59602000000,,,1693000000,4257000000,-851000000,,,867000000,1593000000,8153000000,,35203000000,-8655000000,,1165000000,18936000000,203420000000,-63116000000,-36443000000,15456000000,7905000000,13725000000,,107706000000,-170752000000,95932000000,18976000000,,6157000000,52561000000,-102000000,58365000000,63000000,,8863000000,0,,3895000000,202309000000,,,0,,,54844000000,0,86850000000,6000000,-12490000000,-63592000000,-1868000000,,7230000000,,68631000000,,,10478000000,54092000000,,7574000000,,82078000000,,2675000000,
