FilingDate,PeriodEnd,AmortizationOfIntangibleAssets,AssetManagementAdministrationAndCommissions,AssetManagementFees,AvailableForSaleSecuritiesGrossRealizedGainLossNet,CommonStockDividendsPerShareCashPaid,CommunicationsAndInformationTechnology,CreditCardIncome,DebtSecuritiesAvailableForSaleRealizedGainLoss,EarningsPerShareBasic,EarningsPerShareDiluted,ExtraordinaryItemNetOfTax,FeesAndCommissions1,FeesAndCommissionsCreditAndDebitCards,FeesAndCommissionsCreditAndDebitCards1,ImpairmentOfInvestments,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerBasicShare,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,InterestAndDividendIncomeOperating,InterestExpense,InterestExpenseOperating,InterestIncomeExpenseNet,InterestIncomeOperating,InvestmentBankingRevenue,LaborAndRelatedExpense,LendingAndDepositRelatedFees,MarketingAndAdvertisingExpense,MergerAndAcquisitionCost,MortgageFeesAndRelatedIncome,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NoninterestExpense,NoninterestIncome,NoninterestIncomeOther,OccupancyNet,OtherNoninterestExpense,OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxIncludingPortionAttributableToNoncontrollingInterest,OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNet,OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNetAvailableforsaleSecurities,PrincipalTransactionsRevenue,ProfessionalAndContractServicesExpense,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLeaseAndOtherLossesExcludingAccountingPolicyConformity,Revenues,RevenuesNetOfInterestExpense,TechnologyCommunicationsAndEquipmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2012-02-29,2009-12-31,1050000000,12540000000,,1110000000,0.20,,7110000000,,2.27,2.26,76000000,,,,946000000,11652000000,2.25,2.24,,16067000000,4415000000,66350000000,15198000000,,51152000000,,7087000000,26928000000,7045000000,1777000000,481000000,3678000000,11728000000,8774000000,,52352000000,49282000000,916000000,3666000000,7594000000,368000000,578000000,,9796000000,6232000000,,32015000000,100434000000,,4624000000,3879700000,3862800000
2012-02-29,2010-12-31,936000000,13499000000,,2965000000,0.20,,5891000000,,3.98,3.96,0,,,,94000000,17370000000,3.98,3.96,,24859000000,7489000000,63782000000,12781000000,,51001000000,,6190000000,28124000000,6340000000,2446000000,0,3870000000,17370000000,15764000000,,61196000000,51693000000,2044000000,3681000000,14558000000,-6000000,100000000,,10894000000,6767000000,,16639000000,102694000000,,4684000000,3976900000,3956300000
2012-02-29,2011-12-31,848000000,14094000000,,1593000000,1.00,,6158000000,,4.50,4.48,0,,,,27000000,18976000000,4.50,4.48,,26749000000,7773000000,61293000000,13604000000,,47689000000,,5911000000,29037000000,6458000000,3143000000,0,2721000000,18976000000,17568000000,,62911000000,49545000000,2605000000,3895000000,13559000000,-49000000,76000000,,10005000000,7482000000,,7574000000,97234000000,,4947000000,3920300000,3900400000
2013-02-28,2010-12-31,936000000,13499000000,,2965000000,0.20,4684000000,,,3.98,3.96,,,5891000000,,94000000,,,,,24859000000,7489000000,,12781000000,,51001000000,63782000000,6190000000,28124000000,6340000000,2446000000,,3870000000,17370000000,15764000000,,61196000000,51693000000,2044000000,3681000000,14558000000,-6000000,,100000000,10894000000,6767000000,16639000000,,102694000000,,,3976900000,3956300000
2013-02-28,2011-12-31,848000000,14094000000,,1593000000,1.00,4947000000,,,4.50,4.48,,,6158000000,,27000000,,,,,26749000000,7773000000,,13604000000,,47689000000,61293000000,5911000000,29037000000,6458000000,3143000000,,2721000000,18976000000,17568000000,,62911000000,49545000000,2605000000,3895000000,13559000000,-49000000,,76000000,10005000000,7482000000,7574000000,,97234000000,,,3920300000,3900400000
2013-02-28,2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000000,,,,,,,,,,,,,,
2013-02-28,2012-12-31,957000000,13868000000,,2110000000,1.20,5224000000,,,5.22,5.20,,,5658000000,,113000000,,,,,28917000000,7633000000,,11153000000,,44910000000,56063000000,5808000000,30585000000,6196000000,2577000000,,8687000000,21284000000,19877000000,,64729000000,52121000000,4258000000,3925000000,14032000000,85000000,,43000000,5536000000,7429000000,3385000000,,97031000000,,,3822200000,3809400000
2014-02-19,2011-12-31,848000000,14094000000,,1593000000,1.00,4947000000,,,4.50,4.48,,,6158000000,,27000000,,,,,26749000000,7773000000,,13604000000,,47689000000,61293000000,5911000000,29037000000,6458000000,3143000000,,2721000000,18976000000,17568000000,,62911000000,49545000000,2605000000,3895000000,13559000000,-49000000,,76000000,10005000000,7482000000,7574000000,,97234000000,,,3920300000,3900400000
2014-02-19,2012-12-31,957000000,13868000000,,2110000000,1.20,5224000000,,,5.22,5.20,,,5658000000,,113000000,,,,,28917000000,7633000000,,11153000000,,44910000000,56063000000,5808000000,30585000000,6196000000,2577000000,,8687000000,21284000000,19877000000,,64729000000,52121000000,4258000000,3925000000,14032000000,85000000,,15000000,5536000000,7429000000,3385000000,,97031000000,,,3822200000,3809400000
2014-02-19,2013-12-31,637000000,15106000000,,667000000,1.44,5425000000,,,4.39,4.35,,,6022000000,,1000000,,,,,25914000000,7991000000,,9677000000,,43319000000,52996000000,6354000000,30810000000,5945000000,2500000000,,5205000000,17923000000,16593000000,,70467000000,53287000000,3847000000,3693000000,19761000000,0,,20000000,10141000000,7641000000,225000000,,96606000000,,,3814900000,3782400000
2015-02-24,2012-12-31,,13868000000,,2110000000,1.2,5224000000,,,5.22,5.20,,,5658000000,,113000000,,,,28917000000,,7633000000,,11043000000,,44910000000,55953000000,5808000000,30585000000,6196000000,2577000000,,8687000000,21284000000,19877000000,,64729000000,52121000000,4258000000,3925000000,14989000000,85000000,,43000000,5536000000,7429000000,3385000000,,97031000000,,,3822200000,3809400000
2015-02-24,2013-12-31,,15106000000,,667000000,1.44,5425000000,,,4.39,4.35,,,6022000000,,1000000,,,,25914000000,,7991000000,,9350000000,,43319000000,52669000000,6354000000,30810000000,5945000000,2500000000,,5205000000,17923000000,16593000000,,70467000000,53287000000,3847000000,3693000000,20398000000,0,,21000000,10141000000,7641000000,225000000,,96606000000,,,3814900000,3782400000
