FilingDate,PeriodEnd,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccruedIncomeTaxesNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,Assets,AssetsCurrent,AvailableForSaleSecuritiesCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,CommercialPaper,CommonStockIncludingAdditionalPaidInCapital,CommonStocksIncludingAdditionalPaidInCapital,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ConvertibleDebtCurrent,DeferredIncomeTaxLiabilitiesNet,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsLiabilitiesNetCurrent,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsNetNoncurrent,DeferredTaxLiabilitiesNoncurrent,DepositsReceivedForSecuritiesLoanedAtCarryingValue,EmployeeRelatedLiabilitiesCurrent,FiniteLivedIntangibleAssetsNet,Goodwill,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtCurrent,LongTermDebtNoncurrent,LongTermInvestments,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RetainedEarningsAccumulatedDeficitAndAccumulatedOtherComprehensiveIncomeLossNetOfTax,SecuritiesLendingPayable,ShortTermBorrowings,ShortTermInvestments,StockholdersEquity
2010-07-30,2007-06-30,,,,,,,,,6111000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60557000000
2010-07-30,2008-06-30,,,,,,,,,10339000000,,,,,,,,,,,,,,,,,,12108000000,,,,,,,,,,,,,,,,,,,,36286000000
2010-07-30,2009-06-30,3324000000,11192000000,725000000,,,77888000000,49280000000,25371000000,6076000000,31447000000,,62382000000,,,,,,13003000000,1281000000,,2213000000,279000000,0,,3156000000,1759000000,12503000000,717000000,,77888000000,27034000000,,3746000000,4933000000,,,3711000000,1599000000,3142000000,6269000000,7535000000,-22824000000,,1684000000,2000000000,,39558000000
2010-07-30,2010-06-30,4025000000,13014000000,1074000000,,,86113000000,55676000000,31283000000,5505000000,36788000000,,62856000000,,,,,,13652000000,1178000000,,2184000000,0,229000000,,3283000000,1158000000,12394000000,740000000,,86113000000,26147000000,,4939000000,7754000000,,,2950000000,1501000000,2931000000,7445000000,7630000000,-16681000000,,182000000,1000000000,,46175000000
2011-07-28,2008-06-30,,,,,,,,,10339000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62849000000
2011-07-28,2009-06-30,,,,,,,,,6076000000,,,,,,,,,,,,,,,,,,12503000000,,,,,,,,,,,,,,,,,,,,39558000000
2011-07-28,2010-06-30,4025000000,13014000000,1074000000,,,86113000000,55676000000,31283000000,5505000000,36788000000,,62856000000,,,,,,13652000000,1178000000,,2184000000,,229000000,182000000,3283000000,1158000000,12394000000,740000000,39938000000,86113000000,26147000000,,4939000000,7754000000,,,2950000000,1501000000,2931000000,7445000000,7630000000,,-16681000000,,1000000000,,46175000000
2011-07-28,2011-06-30,4197000000,14987000000,580000000,,,108704000000,74918000000,43162000000,9610000000,52772000000,,63415000000,,,,,,15722000000,1398000000,,2467000000,,1456000000,1208000000,3575000000,744000000,12581000000,1372000000,51621000000,108704000000,28774000000,,11921000000,10865000000,,,3320000000,1434000000,3492000000,8072000000,8162000000,,-6332000000,,0,,57083000000
2012-07-26,2009-06-30,,,,,,,,,6076000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62382000000
2012-07-26,2010-06-30,,,,,,,,,5505000000,,,,,,,,,,,,,,,,,,12394000000,,,,,,,,,,,,,,,,,,,,46175000000
2012-07-26,2011-06-30,4197000000,14987000000,580000000,,,108704000000,74918000000,43162000000,9610000000,52772000000,,63415000000,,,,0,,15722000000,1398000000,2467000000,,,1456000000,1208000000,3575000000,744000000,12581000000,1372000000,51621000000,108704000000,28774000000,,11921000000,10865000000,,,3320000000,1434000000,3492000000,8072000000,8162000000,,-6332000000,,,,57083000000
2012-07-26,2012-06-30,4175000000,15780000000,789000000,,,121271000000,85084000000,56102000000,6938000000,63040000000,,65797000000,,,,1231000000,,18653000000,1406000000,2035000000,,,1893000000,814000000,3875000000,3170000000,13452000000,1137000000,54908000000,121271000000,32688000000,,10713000000,9776000000,,,3092000000,1520000000,3151000000,8208000000,8269000000,,566000000,,,,66363000000
2013-07-30,2010-06-30,,,,,,,,,5505000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62856000000
2013-07-30,2011-06-30,,,,,1863000000,,,,9610000000,,,,,,,,,,,,,,,,,,12581000000,,,,,,,,,,,,,,,,,,,,57083000000
2013-07-30,2011-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,4200000000,,,,,,,,,,,,,,,,,,,,
2013-07-30,2012-06-30,4175000000,15780000000,789000000,,1422000000,121271000000,85084000000,56102000000,6938000000,63040000000,,,65797000000,,,,,18653000000,1406000000,2035000000,,,1893000000,814000000,3875000000,3170000000,13452000000,1137000000,54908000000,121271000000,32688000000,1231000000,10713000000,9776000000,,,3092000000,1520000000,3151000000,8208000000,8269000000,-856000000,,,,,66363000000
2013-07-30,2012-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,937000000,,,,,,,,,,,,,,,,,,,,
2013-07-30,2013-06-30,4828000000,17486000000,592000000,,1743000000,142431000000,101466000000,73218000000,3804000000,77022000000,,,67306000000,,,,,20639000000,1760000000,1632000000,,,1709000000,645000000,4117000000,3083000000,14655000000,1938000000,63487000000,142431000000,37417000000,2999000000,12601000000,10844000000,,,3388000000,2392000000,3597000000,10000000000,9991000000,9895000000,,,,,78944000000
2014-07-31,2011-06-30,,,,,-163000000,,,,9610000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63415000000
2014-07-31,2011-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000000,,,,,,,,,,,,,,,,,,,,
2014-07-31,2012-06-30,,,,,1422000000,,,,6938000000,,,,,,,,,,,,,,,,,,13452000000,,,,,,,,,,,,,,,,,,,,66363000000
2014-07-31,2012-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,937000000,,,,,,,,,,,,,,,,,,,,
2014-07-31,2013-06-30,4828000000,17486000000,592000000,,1743000000,142431000000,101466000000,73218000000,3804000000,77022000000,,,67306000000,,,,,20639000000,1760000000,1632000000,,,1709000000,645000000,4117000000,3083000000,14655000000,1938000000,63487000000,142431000000,37417000000,2999000000,12601000000,10844000000,,,3388000000,2392000000,3597000000,10000000000,9991000000,9895000000,,,0,,78944000000
2014-07-31,2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,5458000000,,,,,,,,,,,,,,,,,,,,
2014-07-31,2014-06-30,7432000000,19544000000,782000000,,3708000000,172384000000,114246000000,77040000000,8669000000,85709000000,,,68366000000,,,,,23150000000,2008000000,1941000000,,,2728000000,558000000,4797000000,6981000000,20127000000,2660000000,82600000000,172384000000,45625000000,0,20645000000,14597000000,,,4392000000,3422000000,6906000000,11594000000,13011000000,17710000000,,,2000000000,,89784000000
2015-07-31,2012-06-30,,,,,1431000000,,,,6938000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-856000000
2015-07-31,2012-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,937000000,,,,,,,,,,,,,,,,,,,,
2015-07-31,2013-06-30,,,,,1743000000,,,,3804000000,,,,,,,,,,,,,,,,,,14655000000,,,,,,,,,,,,,,,,,,,,78944000000
2015-07-31,2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,5456000000,,,,,,,,,,,,,,,,,,,,
2015-07-31,2014-06-30,7432000000,19544000000,782000000,,3708000000,172384000000,114246000000,77040000000,8669000000,85709000000,,,68366000000,,,,,23150000000,2008000000,1941000000,,,2728000000,558000000,4797000000,6981000000,20127000000,2660000000,82600000000,172384000000,45625000000,0,20645000000,14597000000,,,4392000000,3422000000,6906000000,11594000000,13011000000,17710000000,,,2000000000,,89784000000
2015-07-31,2014-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000000,,,,,,,,,,,,,,,,,,,,
2015-07-31,2015-06-30,6591000000,17908000000,606000000,,2522000000,176223000000,124712000000,90931000000,5595000000,96526000000,,,68465000000,,,,,23223000000,2095000000,1915000000,,,2835000000,92000000,5096000000,4835000000,16939000000,2902000000,96140000000,176223000000,49858000000,2499000000,27808000000,12053000000,,,5461000000,2953000000,6766000000,13544000000,14731000000,9096000000,,,4985000000,,80083000000
2016-07-28,2013-06-30,,,,,66000000,,,,3804000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9895000000
2016-07-28,2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,5456000000,,,,,,,,,,,,,,,,,,,,
2016-07-28,2014-06-30,,,,,3708000000,,,,8669000000,,,,,,,,,,,,,,,,,,20127000000,,,,,,,,,,,,,,,,,,,,89784000000
2016-07-28,2014-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000000,,,,,,,,,,,,,,,,,,,,
