FilingDate,PeriodEnd,BusinessCombinationIntegrationRelatedCosts,CommonStockDividendsPerShareDeclared,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CostOfServicesAndOther,DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,EarningsPerShareBasic,EarningsPerShareDiluted,ForeignCurrencyCashFlowHedgeGainLossReclassifiedToEarningsNet,GainLossOnComponentsExcludedFromAssessmentOfForeignCurrencyCashFlowHedgeEffectiveness,GeneralAndAdministrativeExpense,GoodwillImpairmentLoss,GrossProfit,ImpairmentAndRestructuringExpenses,ImpairmentIntegrationAndRestructuringExpenses,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,ResearchAndDevelopmentExpense,RestructuringCharges,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueGoodsNet,SalesRevenueNet,SalesRevenueServicesAndOtherNet,SellingAndMarketingExpense,UnrealizedGainLossOnForeignCurrencyDerivativesNetOfTax,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2010-07-30,2009-06-30,,,,,,,,,,884000000,-314000000,,,,,,,,,,,,,,,,,,,,876000000,,
2010-07-30,2010-06-30,,,,,,,,,,495000000,-174000000,,,,,,,,,,,,,,,,,,,,349000000,,
2011-07-28,2009-06-30,,,,,,,-314000000,,,884000000,,,,,,,,,,,,,,,,,,,,,876000000,,
2011-07-28,2010-06-30,,,,,,,-174000000,,,495000000,,,,,,,,,,,,,,,,,,,,,349000000,,
2011-07-28,2011-06-30,,,,,,,-276000000,,,-7000000,,,,,,,,,,,,,,,,,,,,,-632000000,,
2012-07-26,2010-06-30,,,,,,,-174000000,,,495000000,,,,,,,,,,,,,,,,,,,,,349000000,,
2012-07-26,2011-06-30,,,,,,,-276000000,,,-7000000,,,,,,,,,,,,,,,,,,,,,-632000000,,
2012-07-26,2012-06-30,,,,,,,-231000000,,,-27000000,,,,,,,,,,,,,,,,,,,,,236000000,,
2013-07-30,2011-06-30,,0.64,,,15577000000,,,2.73,2.69,,,4222000000,0,54366000000,,,,28071000000,4921000000,23150000000,910000000,27205000000,27161000000,9043000000,,,,69943000000,,13940000000,,8593000000,8490000000
2013-07-30,2011-09-30,,0.20,,,,,,0.68,0.68,,,,,13595000000,,,,,,5738000000,,,,,,,,17372000000,,,,,
2013-07-30,2011-12-31,,0.20,,,,,,0.79,0.78,,,,,15247000000,,,,,,6624000000,,,,,,,,20885000000,,,,,
2013-07-30,2012-03-31,,0.20,,,,,,0.61,0.60,,,,,13455000000,,,,,,5108000000,,,,,,,,17407000000,,,,,
2013-07-30,2012-06-30,,0.80,,,17530000000,,,2.02,2.00,,,4569000000,6193000000,56193000000,,,,22267000000,5289000000,16978000000,504000000,34430000000,21763000000,9811000000,,,,73723000000,,13857000000,,8506000000,8396000000
2013-07-30,2012-09-30,,0.23,,,,,,0.53,0.53,,,,,11840000000,,,,,,4466000000,,,,,,,,16008000000,,,,,
2013-07-30,2012-12-31,,0.23,,,,,,0.76,0.76,,,,,15764000000,,,,,,6377000000,,,,,,,,21456000000,,,,,
2013-07-30,2013-03-31,,0.23,,,,,,0.72,0.72,,,,,15702000000,,,,,,6055000000,,,,,,,,20489000000,,,,,
2013-07-30,2013-06-30,,0.92,,,20249000000,,,2.61,2.58,,,5149000000,0,57600000000,,,,27052000000,5189000000,21863000000,288000000,30836000000,26764000000,10411000000,,,,77849000000,,15276000000,,8470000000,8375000000
