FilingDate,PeriodEnd,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,AvailableForSaleSecuritiesCurrent,CashAndCashEquivalentsAtCarryingValue,CommonStockValue,ContentAccountsPayableCurrent,ContentAccountsPayableNoncurrent,ContentAssetsNetCurrent,ContentAssetsNetNoncurrent,ContentLiabilitiesCurrent,ContentLiabilitiesNoncurrent,ContentLibraryNetCurrent,ContentLibraryNetNoncurrent,ContractWithCustomerLiabilityCurrent,DeferredRevenueCurrent,DeferredTaxAssetsNetNoncurrent,DueToRelatedPartiesNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtNoncurrent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherLiabilitiesNoncurrent,OtherLongTermDebtCurrent,OtherLongTermDebtNoncurrent,OtherPrepaidExpenseCurrent,PreferredStockValue,PrepaidExpenseCurrent,PrepaidRevenueSharingExpensesCurrent,PropertyPlantAndEquipmentNet,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,SeniorLongTermNotes,ShortTermBorrowings,ShortTermInvestments,StockholdersEquity,TreasuryStockCommonValue,TreasuryStockValue
2010-02-22,2006-12-31,,,,,,,,,400430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413618000,,
2010-02-22,2007-12-31,,,,,,,,,177439000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429812000,,
2010-02-22,2008-12-31,100344000,31394000,84000,,338577000,615424000,358925000,157390000,139881000,62000,,,,,,,18691000,98547000,,83127000,22409000,,268269000,615424000,216017000,0,16424000,10595000,14264000,1152000,37988000,,0,8122000,18417000,124948000,,108452000,,,,347155000,,100020000
2010-02-22,2009-12-31,91475000,33387000,273000,,0,679734000,411013000,186018000,134224000,53000,,,,,,,37329000,108810000,,100097000,15958000,,480591000,679734000,226369000,200000000,23818000,12300000,17650000,1410000,36572000,,0,12491000,17133000,131653000,,198817000,,,,199143000,,0
2011-02-18,2007-12-31,,,,,,,,,177439000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429812000,,
2011-02-18,2008-12-31,,,,,,,,,139881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347155000,,
2011-02-18,2009-12-31,92542000,33387000,273000,,,679734000,411013000,186018000,134224000,53000,,,,,,,37329000,108810000,,100097000,15958000,,480591000,679734000,227436000,,26701000,12300000,16583000,1410000,36572000,26741000,0,,,131653000,,198817000,200000000,,,199143000,,
2011-02-18,2010-12-31,222824000,36489000,750000,,,982067000,640967000,155888000,194499000,53000,,,,,,,181006000,180973000,,127183000,17467000,,691903000,982067000,388579000,,47357000,14090000,69201000,2083000,34123000,62217000,0,,,128570000,,237739000,200000000,,,290164000,,
2012-02-10,2008-12-31,,,,,,,,,139881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347155000,,
2012-02-10,2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,
2012-02-10,2009-12-31,,,,,,,,,134224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199143000,,
2012-02-10,2010-12-31,54129000,38572000,,750000,51622000,982067000,637231000,155888000,194499000,53000,168695000,48179000,,,,,181006000,180973000,,127183000,,,691903000,982067000,388579000,,43621000,35293000,55145000,,,62217000,,,,128570000,,237739000,200000000,,,290164000,,
2012-02-10,2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,
2012-02-10,2011-12-31,87860000,63693000,,706000,219119000,3069196000,1830857000,289758000,508053000,55000,924706000,739628000,,,,,919709000,1046934000,,148796000,,,2426386000,3069196000,1225055000,,57330000,55052000,61703000,,,56007000,,,,136353000,,422930000,200000000,,,642810000,,
2013-01-31,2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,
2013-01-31,2009-12-31,,,,,,,,,134224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000,,
2013-01-31,2010-12-31,,,,,,,,,194499000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290164000,,
2013-01-31,2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,
2013-01-31,2011-12-31,86992000,54231000,,706000,219119000,3069196000,1830857000,289758000,508053000,55000,935036000,739628000,,,,,919709000,1046934000,,148796000,,,2426386000,3069196000,1225055000,,57330000,55052000,61703000,,,56007000,0,,,136353000,-200000000,422930000,200000000,,,642810000,,
2013-01-31,2012-12-31,86468000,53139000,,2919000,301616000,3967890000,2240791000,457787000,290291000,56000,1366847000,1076622000,,,,,1368162000,1506008000,,169472000,,,3223217000,3967890000,1675926000,,64622000,89410000,70669000,,,59929000,0,,,131681000,-200000000,440082000,200000000,,,744673000,,
2013-01-31,2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000000,,,,,
2014-01-31,2010-12-31,,,,,,,,,194499000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000,,
2014-01-31,2011-11-30,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2011-12-31,,,,706000,,,,,508053000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,,
2014-01-31,2012-12-31,86468000,53139000,,2919000,301616000,3967890000,2240791000,457787000,290291000,56000,,,,,1366847000,1076622000,1368162000,1506008000,,169472000,,200000000,3223217000,3967890000,1675926000,200000000,124551000,89410000,70669000,,,,0,,,131681000,,440082000,,,,744673000,,
2014-01-31,2013-12-31,108435000,54018000,,3575000,777441000,5412563000,3058763000,595440000,604965000,60000,,,,,1775983000,1345590000,1706421000,2091071000,,215767000,,0,4079002000,5412563000,2154203000,500000000,151937000,129124000,79209000,,,,0,,,133605000,,552485000,,,,1333561000,,
2015-01-29,2011-12-31,,,,,,,,,508053000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422930000,,
2015-01-29,2012-12-31,,,,1538000,,,,,290291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440082000,,
2015-01-29,2013-12-31,108435000,54018000,,3575000,777441000,5412563000,3058763000,595440000,604965000,60000,,,,,1775983000,1345590000,1706421000,2091071000,,215767000,,,4079002000,5412563000,2154203000,500000000,151937000,129124000,79209000,,,,0,,,133605000,,552485000,,,,1333561000,,
2015-01-29,2014-12-31,201581000,69746000,,-4446000,1042810000,7056651000,3940469000,494888000,1113608000,60000,,,,,2117241000,1575832000,2125702000,2773326000,,274586000,,,5198943000,7056651000,2663154000,900000000,206271000,192981000,59957000,,,,0,,,149875000,,819284000,,,,1857708000,,
2016-01-28,2012-12-31,,,,,,,,,290291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744673000,,
2016-01-28,2013-12-31,,,,3575000,,,,,604965000,,,,40900000,,,,,,,,,,,,,,-40900000,,,,,,,,,,,,,,,1333561000,,
2016-01-28,2014-12-31,201581000,69746000,,-4446000,,7042500000,3927053000,494888000,1113608000,1042870000,,,2166134000,2773326000,2117241000,1575832000,,,,274586000,,,5184792000,7042500000,2663154000,885849000,152423000,192246000,59957000,,,,0,,,149875000,,819284000,,,,1857708000,,
2016-01-28,2015-12-31,253491000,140389000,,-43308000,,10202871000,5431840000,501385000,1809330000,1324809000,,,2905998000,4312817000,2789023000,2026360000,,,,346721000,,,7979445000,10202871000,3529624000,2371362000,215127000,284802000,52099000,,,,0,,,173412000,,941925000,,,,2223426000,,
2017-01-27,2013-12-31,,,,,,,,,604965000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333561000,,
2017-01-27,2014-12-31,,,,-4446000,,,,,1113608000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857708000,,
2017-01-27,2015-12-31,253491000,140389000,,-43308000,,10202871000,5431840000,501385000,1809330000,1324809000,,,2905998000,4312817000,2789023000,2026360000,,,,346721000,,,7979445000,10202871000,3529624000,2371362000,215127000,284802000,52099000,,,,0,,,173412000,,941925000,,,,2223426000,,
2017-01-27,2016-12-31,312842000,197632000,,-48565000,,13586610000,5720291000,266206000,1467576000,1599762000,,,3726307000,7274501000,3632711000,2894654000,,,,443472000,,,10906810000,13586610000,4586657000,3364311000,260202000,341423000,61188000,,,,0,,,250395000,,1128603000,,,,2679800000,,
