FilingDate,PeriodEnd,AdditionsToStreamingContentLibrary,AdditionstoStreamingContentAssets,AmortizationOfDvdContentLibrary,AmortizationOfStreamingContentLibrary,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ChangeInStreamingContentLiabilities,ChangeinInvestingActivitiesIncludedInLiabilities,CostOfServicesAmortizationOfDvdContentLibrary,CostOfServicesAmortizationOfStreamingContentLibrary,CostofServicesAmortizationofDVDContentAssets,CostofServicesAmortizationofStreamingContentAssets,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefitIncludingReclassifications,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GainsLossesOnExtinguishmentOfDebt,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,InvestingActivitiesIncludedInLiabilities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherNoncashIncomeExpense,PaymentsForAcquisitionsOfContentLibrary,PaymentsForAcquisitionsOfDVDContentAssets,PaymentsForProceedsFromAvailableforsaleSecuritiesShortterm,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDebtIssuanceCosts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireShortTermInvestments,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromLinesOfCredit,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromStockOptionsExercised,ProceedsfromIssuancePaymentsforRepurchasePublicOfferingofCommonStock,ProceedsfromPublicOfferingofCommonStock,RepaymentsOfDebt,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfLongTermDebt,RepaymentsOfOtherDebt,ShareBasedCompensation
2012-02-10,2008-12-31,,,,,139881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,2009-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000000,,,,,,,,,,,,,,
2012-02-10,2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193900000,,,,,,,,,,,,,,,,
2012-02-10,2009-12-31,64217000,,171298000,48192000,134224000,-5657000,,,-4014000,,,,,,6328000,,38044000,,,,12683000,12683000,,,,58770000,1537000,13169000,,16970000,,-1906000,5358000,5643000,3878000,,,-84641000,-246079000,325063000,115860000,7161000,193044000,,,-11035000,324335000,,,228000000,,,,45932000,,,,193917000,35274000,18978000,35673000,,,,166706000,,,,,,,,1158000,12618000
2012-02-10,2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32272000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37967000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,2010-12-31,406210000,,142496000,158100000,194499000,60275000,,,167836000,,,,,,-962000,,38099000,,,,62214000,62214000,,,,56218000,18098000,67209000,,27086000,,-645000,18027000,35476000,20101000,,,-100045000,-116081000,276401000,160853000,9128000,123901000,,,-12344000,210259000,,,107362000,,,,33837000,,,,,49776000,,15818000,,,,120857000,,,,,,,,1776000,27996000
2012-02-10,2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,2011-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,,,,,,,,,,,,,,
2012-02-10,2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197800000,,,,,,,,,,,,,,,,
2012-02-10,2011-12-31,2320732000,,96744000,699128000,508053000,313554000,,,1460400000,,,,,,-18597000,,43747000,,,,45784000,45784000,,,,79069000,24314000,68902000,,21613000,,-2883000,4775000,-6211000,19395000,,,261656000,-265814000,317712000,226126000,4050000,85154000,,,-3674000,199666000,,,223750000,,,,49682000,,199947000,,198060000,19614000,,38105000,,,,50993000,,,,,,,,2083000,61582000
2013-01-31,2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193900000,,,,,,,,,,,,,,,,
2013-01-31,2009-12-31,,,,,134224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2010-12-31,406210000,,142496000,158100000,194499000,60275000,,,168231000,,,,,,-962000,,38099000,,0,,62214000,62214000,,,,56218000,19214000,65698000,,27086000,,-645000,18027000,35476000,20101000,,,-100045000,-116081000,276401000,160853000,9128000,123901000,,,-12344000,210259000,,,107362000,,,,33837000,,0,,0,49776000,,15818000,,,,120857000,,,,,,,,1776000,27996000
2013-01-31,2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2011-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,,,,,,,,,,,,,,
2013-01-31,2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197800000,,,,,,,,,,,,,,,,
2013-01-31,2011-12-31,2320732000,,96744000,699128000,508053000,313554000,,,1463955000,,,,,,-18597000,,43747000,,0,,45784000,45784000,,,,79069000,23968000,65560000,,21613000,,-3016000,4775000,-6211000,19395000,,,261656000,-265814000,317712000,226126000,4050000,85154000,,,-3674000,199666000,,,223750000,,,,49682000,,199947000,,198060000,19614000,,38105000,,,,50993000,,,,,,,,2083000,61582000
2013-01-31,2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4584000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6164000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2012-12-31,2515506000,,65396000,1591218000,290291000,-217762000,,,762089000,,,,,,-30071000,,45469000,,-197000,,4543000,4543000,,,,28853000,-3764000,9806000,,20676000,,-4719000,1510000,3922000,19009000,,,5589000,-245919000,22765000,17152000,8392000,48275000,,,-8816000,0,,,477321000,,,,41457000,,-464000,,-295000,4124000,,29365000,,,,282953000,,,,,,,,2319000,73948000
2014-01-31,2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193900000,,,,,,,,,,,,,,,,
2014-01-31,2010-12-31,,,,,194499000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2011-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,,,,,,,,,,,,,,
2014-01-31,2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197800000,,,,,,,,,,,,,,,,
2014-01-31,2011-12-31,2320732000,,,,508053000,313554000,,,1463955000,,96744000,699128000,,,-18597000,,,43747000,0,,45784000,45784000,,,0,79069000,23968000,65560000,,21613000,-1436000,-3016000,,,19395000,,,261656000,-265814000,317712000,226126000,4050000,85154000,,,-3674000,199666000,,,223750000,,,,49682000,,19614000,,198060000,,,38105000,,,,50993000,,,,199947000,0,2083000,,,61582000
2014-01-31,2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4584000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6164000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2012-12-31,2515506000,,,,290291000,-217762000,,,762089000,,65396000,1591218000,,,-30071000,,,45469000,-197000,,4543000,4543000,,,0,28853000,-4943000,9806000,,20676000,5432000,-4719000,,,19009000,,,5589000,-244740000,21586000,17152000,8392000,48275000,,,-8816000,0,,,477321000,,,,40278000,,4124000,,-295000,,,29365000,,,,282953000,,,,-464000,0,2319000,,,73948000
2014-01-31,2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,25100000,,,,,,,,,,5100000,,,,,,2689000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224500000,,,,
2014-01-31,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2013-12-31,3049758000,,,,604965000,314674000,,,673785000,,71325000,2121981000,,,-22044000,,,48374000,-3453000,,81663000,81663000,,,-25129000,7465000,18374000,1941000,,46295000,-62234000,8977000,,,19114000,,,476264000,-255968000,97831000,112403000,-5332000,65927000,,,-5939000,0,,,550264000,,,,54143000,,124557000,,490586000,,,60925000,,,,347502000,,,,0,219362000,1180000,,,73100000
2015-01-29,2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193900000,,,,,,,,,,,,,,,,
2015-01-29,2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197800000,,,,,,,,,,,,,,,,
2015-01-29,2011-12-31,,,,,508053000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,2012-12-31,2515506000,,,,290291000,-217762000,,,762089000,,65396000,1591218000,,,-30071000,,,45469000,-197000,,4543000,4543000,,,0,28853000,-4943000,9806000,,20676000,5432000,-4719000,,,19009000,,,5589000,-244740000,21586000,17152000,8392000,48275000,,477321000,-8816000,,295000,,,,,,40278000,,4124000,,0,,,29365000,,,,282953000,,,-464000,,0,2319000,,,73948000
2015-01-29,2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,-25100000,,,,,,,,,,5100000,,,,,,2689000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224500000,,,,
2015-01-29,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,2013-12-31,3049758000,,,,604965000,314674000,,,673785000,,71325000,2121981000,,,-22044000,,,48374000,-3453000,,81663000,81663000,,,-25129000,7465000,18374000,1941000,,46295000,-62234000,8977000,,,19114000,,,476264000,-255968000,97831000,112403000,-5332000,65927000,,550264000,-5939000,,9414000,,,,,,54143000,,124557000,,500000000,,,60925000,,,,347502000,,,0,,219362000,1180000,,,73100000
2015-01-29,2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71018000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,2014-12-31,3773459000,,,,1113608000,508643000,,,593125000,,71491000,2656279000,,,-30063000,,,54028000,-6686000,,89341000,89341000,,,0,50573000,83812000,55636000,,58819000,8758000,52406000,,,41085000,,,541712000,-42866000,16483000,266799000,-15282000,74790000,,426934000,-1334000,,7080000,,,,,,69726000,,60544000,,400000000,,,141950000,,,,385300000,,,0,,0,1093000,,,115239000
2016-01-28,2012-12-31,,,,,290291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-28,2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,-25100000,,,,,,,,,,5100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-28,2013-12-31,,3030701000,,,604965000,314674000,,,673785000,,,,71325000,2121981000,-22044000,,,48374000,-3453000,,81663000,81663000,,,-25129000,7465000,18374000,1941000,,46295000,-43177000,8977000,,,19114000,,11508000,476264000,-255968000,97831000,112403000,-5332000,,65927000,550264000,-5939000,,9414000,,,,,,54143000,,124557000,,500000000,,,60925000,,,,347502000,,,,,219362000,1180000,,,73100000
2016-01-28,2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-28,2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71018000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
