FilingDate,PeriodEnd,CostOfGoodsSoldSubscription,CostOfRevenue,EarningsPerShareBasic,EarningsPerShareDiluted,FulfillmentExpense,GainLossOnDispositionOfOtherAssets,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,InterestExpense,InterestExpenseNonoperating,LitigationSettlementExpense,MarketingExpense,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OtherNonoperatingIncome,ResearchAndDevelopmentExpense,Revenues,SellingAndMarketingExpense,TechnologyandDevelopmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2010-02-22,2007-12-31,664407000,786168000,0.99,0.97,121761000,7196000,7000000,,52404000,419172000,,110925000,44317000,1188000,,,218212000,66608000,,327399000,91773000,20340000,70979000,1205340000,,,68902000,67076000
2010-02-22,2008-12-31,761133000,910234000,1.36,1.32,149101000,6327000,0,,49662000,454427000,,131500000,48474000,2458000,,,199713000,83026000,,332921000,121506000,12452000,89873000,1364661000,,,62836000,60961000
2010-02-22,2009-12-31,909461000,1079271000,2.05,1.98,169810000,4560000,0,,51333000,590998000,,192192000,76332000,6475000,,,237744000,115860000,,399059000,191939000,6728000,114542000,1670269000,,,58416000,56560000
2011-02-18,2008-12-31,761133000,910234000,1.36,1.32,149101000,6327000,,,49662000,454427000,,131500000,48474000,2458000,,,199713000,83026000,,332921000,121506000,12452000,89873000,1364661000,,,62836000,60961000
2011-02-18,2009-12-31,909461000,1079271000,2.05,1.98,169810000,4560000,,,51333000,590998000,,192192000,76332000,6475000,,,237744000,115860000,,399059000,191939000,6728000,114542000,1670269000,,,58416000,56560000
2011-02-18,2010-12-31,1154109000,1357355000,3.06,2.96,203246000,6094000,,,70555000,805270000,,267696000,106843000,19629000,,,293839000,160853000,,521629000,283641000,3684000,163329000,2162625000,,,54304000,52529000
2012-02-10,2009-12-31,909461000,1079271000,2.05,1.98,169810000,,,,46773000,590998000,,192192000,76332000,6475000,,,237744000,115860000,,399059000,191939000,6728000,114542000,1670269000,,,58416000,56560000
2012-02-10,2010-03-31,,,0.61,0.59,,,,,,186503000,,,,,,,,32272000,,,,,,493665000,,,,
2012-02-10,2010-06-30,,,0.83,0.80,,,,,,204885000,,,,,,,,43519000,,,,,,519819000,,,,
2012-02-10,2010-09-30,,,0.73,0.70,,,,,,208750000,,,,,,,,37967000,,,,,,553219000,,,,
2012-02-10,2010-12-31,1154109000,1357355000,3.06,2.96,203246000,,,,64461000,805270000,,267696000,106843000,19629000,,,293839000,160853000,,521629000,283641000,3684000,163329000,2162625000,,,54304000,52529000
2012-02-10,2011-03-31,,,1.14,1.11,,,,,,280402000,,,,,,,,60233000,,,,,,718553000,,,,
2012-02-10,2011-06-30,,,1.30,1.26,,,,,,298632000,,,,,,,,68214000,,,,,,788610000,,,,
2012-02-10,2011-09-30,,,1.19,1.16,,,,,,285222000,,,,,,,,62460000,,,,,,821839000,,,,
2012-02-10,2011-12-31,1789596000,2039901000,4.28,4.16,250305000,,,,117937000,1164676000,,359522000,133396000,20025000,,9000000,402638000,226126000,,788608000,376068000,3479000,259033000,3204577000,,,54369000,52847000
2013-01-31,2010-12-31,,1357355000,3.06,2.96,,,,,64461000,,,267696000,106843000,19629000,,,293839000,160853000,,,283641000,3684000,163329000,2162625000,,,54304000,52529000
2013-01-31,2011-03-31,,,1.14,1.11,,,,,,,,,,,,,,60233000,,,,,,718553000,,,,
2013-01-31,2011-06-30,,,1.30,1.26,,,,,,,,,,,,,,68214000,,,,,,788610000,,,,
2013-01-31,2011-09-30,,,1.19,1.16,,,,,,,,,,,,,,62460000,,,,,,821839000,,,,
2013-01-31,2011-12-31,,2039901000,4.28,4.16,,,,,126937000,,,359522000,133396000,20025000,,,402638000,226126000,,,376068000,3479000,259033000,3204577000,,,54369000,52847000
2013-01-31,2012-03-31,,,-0.08,-0.08,,,,,,,,,,,,,,-4584000,,,,,,869791000,,,,
2013-01-31,2012-06-30,,,0.11,0.11,,,,,,,,,,,,,,6164000,,,,,,889163000,,,,
2013-01-31,2012-09-30,,,0.14,0.13,,,,,,,,,,,,,,7675000,,,,,,905089000,,,,
2013-01-31,2012-12-31,,2625866000,0.31,0.29,,,,,119687000,,,30480000,13328000,19986000,,,484729000,17152000,,,49992000,474000,329008000,3609282000,,,58904000,55521000
2014-01-31,2011-12-31,,2039901000,4.28,4.16,,,,0,148306000,,,359522000,133396000,20025000,,,381269000,226126000,3479000,,376068000,,259033000,3204577000,,,54369000,52847000
2014-01-31,2012-03-31,,,-0.08,-0.08,,,,,,,,,,,,,,-4584000,,,,,,869791000,,,,
2014-01-31,2012-06-30,,,0.11,0.11,,,,,,,,,,,,,,6164000,,,,,,889163000,,,,
2014-01-31,2012-09-30,,,0.14,0.13,,,,,,,,,,,,,,7675000,,,,,,905089000,,,,
2014-01-31,2012-12-31,,2625866000,0.31,0.29,,,,0,139016000,,,30480000,13328000,19986000,,,465400000,17152000,474000,,49992000,,329008000,3609282000,,,58904000,55521000
2014-01-31,2013-03-31,,,0.05,0.05,,,,25100000,,,,,,,,,,2689000,,,,,,1023961000,,,,
2014-01-31,2013-06-30,,,0.51,0.49,,,,,,,,,,,,,,29471000,,,,,,1069372000,,,,
2014-01-31,2013-09-30,,,0.54,0.52,,,,,,,,,,,,,,31822000,,,,,,1105999000,,,,
2014-01-31,2013-12-31,,3083256000,1.93,1.85,,,,-25129000,180301000,,,171074000,58671000,29142000,,,503889000,112403000,-3002000,,228347000,,378769000,4374562000,,,60761000,58198000
2015-01-29,2012-12-31,,2652058000,0.31,0.29,,,,0,139016000,,,30480000,13328000,19986000,,,439208000,17152000,474000,,49992000,,329008000,3609282000,,,58904000,55521000
2015-01-29,2013-03-31,,,0.05,0.05,,,,-25100000,,,,,,,,,,2689000,,,,,,1023961000,,,,
2015-01-29,2013-06-30,,,0.51,0.49,,,,,,,,,,,,,,29471000,,,,,,1069372000,,,,
2015-01-29,2013-09-30,,,0.54,0.52,,,,,,,,,,,,,,31822000,,,,,,1105999000,,,,
2015-01-29,2013-12-31,,3117203000,1.93,1.85,,,,-25129000,180301000,,,171074000,58671000,29142000,,,469942000,112403000,-3002000,,228347000,,378769000,4374562000,,,60761000,58198000
2015-01-29,2014-03-31,,,0.89,0.86,,,,,,,,,,,,,,53115000,,,,,,1270089000,,,,
2015-01-29,2014-06-30,,,1.18,1.15,,,,,,,,,,,,,,71018000,,,,,,1340407000,,,,
2015-01-29,2014-09-30,,,0.99,0.96,,,,,,,,,,,,,,59295000,,,,,,1409432000,,,,
2015-01-29,2014-12-31,,3752760000,4.44,4.32,,,,0,269741000,,,349369000,82570000,50219000,,,607186000,266799000,-3060000,,402648000,,472321000,5504656000,,,61699000,60078000
2016-01-28,2013-03-31,,,,,,,,-25100000,,,,,,,,,,,,,,,,,,,,
2016-01-28,2013-12-31,,3117203000,0.28,0.26,,,,-25129000,180301000,,,171074000,58671000,29142000,,,469942000,112403000,-3002000,,228347000,,378769000,4374562000,,,425327000,407385000
2016-01-28,2014-03-31,,,0.13,0.12,,,,,,,,,,,,,,53115000,,,,,,1270089000,,,,
2016-01-28,2014-06-30,,,0.17,0.16,,,,,,,,,,,,,,71018000,,,,,,1340407000,,,,
2016-01-28,2014-09-30,,,0.14,0.14,,,,,,,,,,,,,,59295000,,,,,,1409432000,,,,
2016-01-28,2014-12-31,,3752760000,0.20,0.19,,,,0,269741000,,,349369000,82570000,50219000,,,607186000,83371000,-3060000,,402648000,,472321000,1484728000,,,431894000,420544000
2016-01-28,2015-03-31,,,0.06,0.05,,,,,,,,,,,,,,23696000,,,,,,1573129000,,,,
2016-01-28,2015-06-30,,,0.06,0.06,,,,,,,,,,,,,,26335000,,,,,,1644694000,,,,
2016-01-28,2015-09-30,,,0.07,0.07,,,,,,,,,,,,,,29432000,,,,,,1738355000,,,,
2016-01-28,2015-12-31,,4591476000,0.10,0.10,,,,0,407329000,,,141885000,19244000,132716000,,,824092000,43178000,-31225000,,305826000,,650788000,1823333000,,,436456000,425889000
2017-01-27,2014-12-31,,3752760000,0.63,0.62,,,,,269741000,,,349369000,82570000,50219000,,,607186000,266799000,-3060000,,402648000,,,5504656000,,472321000,431894000,420544000
2017-01-27,2015-03-31,,,0.06,0.05,,,,,,,,,,,,,,23696000,,,,,,1573129000,,,,
2017-01-27,2015-06-30,,,0.06,0.06,,,,,,,,,,,,,,26335000,,,,,,1644694000,,,,
2017-01-27,2015-09-30,,,0.07,0.07,,,,,,,,,,,,,,29432000,,,,,,1738355000,,,,
2017-01-27,2015-12-31,,4591476000,0.10,0.10,,,,,407329000,,,141885000,19244000,132716000,,,824092000,43178000,-31225000,,305826000,,,1823333000,,650788000,436456000,425889000
2017-01-27,2016-03-31,,,0.06,0.06,,,,,,,,,,,,,,27658000,,,,,,1957736000,,,,
2017-01-27,2016-06-30,,,0.10,0.09,,,,,,,,,,,,,,40755000,,,,,,2105204000,,,,
2017-01-27,2016-09-30,,,0.12,0.12,,,,,,,,,,,,,,51517000,,,,,,2290188000,,,,
2017-01-27,2016-12-31,,6029901000,0.16,0.15,,,,,577799000,,,260507000,73829000,150114000,,,991078000,66748000,30828000,,379793000,,,2477541000,,852098000,438652000,428822000
2018-01-29,2015-12-31,,4591476000,0.29,0.28,,,,,407329000,,,141885000,19244000,132716000,,,824092000,122641000,-31225000,,305826000,,,6779511000,,650788000,436456000,425889000
2018-01-29,2016-03-31,,,0.06,0.06,,,,,,,,,,,,,,27658000,,,,,,1957736000,,,,
2018-01-29,2016-06-30,,,0.10,0.09,,,,,,,,,,,,,,40755000,,,,,,2105204000,,,,
2018-01-29,2016-09-30,,,0.12,0.12,,,,,,,,,,,,,,51517000,,,,,,2290188000,,,,
2018-01-29,2016-12-31,,6029901000,0.16,0.15,,,,,577799000,,,260507000,73829000,150114000,,,991078000,66748000,30828000,,379793000,,,2477541000,,852098000,438652000,428822000
2018-01-29,2017-03-31,,,0.41,0.40,,,,,,,,,,,,,,178222000,,,,,,2636635000,,,,
2018-01-29,2017-06-30,,,0.15,0.15,,,,,,,,,,,,,,65600000,,,,,,2785464000,,,,
2018-01-29,2017-09-30,,,0.30,0.29,,,,,,,,,,,,,,129590000,,,,,,2984859000,,,,
2018-01-29,2017-12-31,,7659666000,0.43,0.41,,,,,863568000,,,485321000,79100000,238204000,,,1278022000,185517000,-115154000,,838679000,,,3285755000,,1052778000,446814000,431885000
2018-02-02,2015-12-31,,4591476000,0.29,0.28,,,,,407329000,,,141885000,19244000,132716000,,,824092000,122641000,-31225000,,305826000,,,6779511000,,650788000,436456000,425889000
2018-02-02,2016-03-31,,,0.06,0.06,,,,,,,,,,,,,,27658000,,,,,,1957736000,,,,
