FilingDate,PeriodEnd,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedAndOtherCurrentLiabilities,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CommonStockValue,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ConvertibleSeniorNotesIssueToRelatedPartiesNonCurrent,CustomerAdvancesCurrent,CustomerDepositsCurrent,CustomerDepositsLiabilitiesCurrent,DebtInstrumentConvertibleCarryingAmountOfTheEquityComponent,DeferredCostsLeasingNetNoncurrent,DeferredIncomeTaxAssetsNet,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DigitalAssetsNetNonCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,InventoryNet,LeasedAssetsNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermAccountsNotesAndLoansReceivableNetNoncurrent,LongTermDebtAndCapitalLeaseObligations,LongTermDebtAndCapitalLeaseObligationsCurrent,LongTermDebtAndFinanceLeasesCurrent,LongTermDebtAndFinanceLeasesNoncurrent,MinorityInterest,OperatingLeaseRightOfUseAsset,OtherAssetsNoncurrent,OtherLiabilitiesNoncurrent,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PropertyPlantAndEquipmentNet,PropertySubjectToOrAvailableForOperatingLeaseNet,RedeemableNoncontrollingInterestEquityCarryingAmount,ResaleValueGuaranteesCurrentPortion,ResaleValueGuaranteesNoncurrentPortion,RestrictedCashAndCashEquivalentsAtCarryingValue,RestrictedCashAndCashEquivalentsNoncurrent,RestrictedCashAndInvestmentsCurrent,RestrictedCashCurrent,RestrictedCashNoncurrent,RetainedEarningsAccumulatedDeficit,ShortTermInvestments,StockholdersEquity,TemporaryEquityCarryingAmountAttributableToParent
2016-02-24,2012-12-31,,,,,,,,,201890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,
2016-02-24,2013-12-31,,,,,,,,,845889000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123000,
2016-02-24,2014-12-31,777946000,226604000,,268883000,-22000,2345266000,5830667000,3180073000,1905713000,126000,,,,257587000,,,58196000,,,191651000,292271000,,,,,,953675000,,4860761000,5830667000,2107166000,,1818785000,611099000,,,,,43209000,154660000,,76134000,1829267000,766744000,,,487879000,,11374000,17947000,,,-1433660000,,911710000,
2016-02-24,2015-12-31,916148000,168965000,,422798000,-3556000,3414692000,8092460000,2791568000,1196908000,131000,,,,283370000,,,42045000,,,423961000,446105000,,,,,,1277838000,,6961471000,8092460000,2816274000,,2040375000,633166000,,,,,74633000,364976000,,125229000,3403334000,1791403000,,,1293741000,,31522000,22628000,,,-2322323000,,1088944000,
2017-03-01,2013-12-31,,,,,,,,,845889000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123000,
2017-03-01,2014-12-31,,,,,,,,,1905713000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126000,
2017-03-01,2015-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201300000,,,206100000,,,,,,,,,,,,,
2017-03-01,2015-12-31,916148000,168965000,422798000,,-3556000,3409452000,8067939000,2782006000,1196908000,131000,,,,,283370000,,47285000,,,423961000,446105000,,,,,12816000,1277838000,,6936950000,8067939000,2811035000,,2021093000,627927000,,,,,46858000,364976000,,115667000,3403334000,1791403000,,136831000,1293741000,22628000,31522000,,,,-2322323000,,1083704000,
2017-03-01,2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000000,,,1320000000,,,,,,,,,,,,,
2017-03-01,2016-12-31,1860341000,499142000,1210028000,,-23740000,7773727000,22664076000,6259796000,3393216000,161000,,,,,663859000,,8784000,,,763126000,851790000,,165936000,,,376145000,2067454000,,16750167000,22664076000,5827005000,,5860049000,984211000,,,,,216751000,1891449000,,194465000,5982957000,3134080000,,179504000,2210423000,105519000,268165000,,,,-2997237000,,4752911000,
