FilingDate,PeriodEnd,AutomotiveCostOfRevenues,AutomotiveLeasing,AutomotiveRegulatoryCredits,AutomotiveRevenues,AutomotiveSales,AutomotiveSalesRevenue,BuyOutOfNoncontrollingInterest,CostOfAutomotiveLeasing,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CostOfRevenuesAutomotive,CostOfServices,CostOfServicesAndOther,CostOfServicesEnergyServices,DirectCostsOfLeasedAndRentedPropertyOrEquipment,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,InterestExpense,InterestExpenseNonoperating,InvestmentIncomeInterest,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesIncomeStatementLeaseRevenue,OtherNonoperatingIncomeExpense,ProfitLoss,ResearchAndDevelopmentExpense,RestructuringAndOtherExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueAutomotive,SalesRevenueEnergyServices,SalesRevenueGoodsNet,SalesRevenueServicesAndOtherNet,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted1,WeightedAverageNumberOfSharesOutstandingBasicAndDilutedOne
2012-02-27,2009-12-31,,,,,,,,,,102408000,102408000,,,,,,,,,9535000,-55714000,-7.94,26000,2531000,,159000,-55740000,,,61432000,-51897000,,-1445000,,19282000,,,111943000,,,111943000,,,42150000,,,,7021963,
2012-02-27,2010-12-31,,,,,,,,,,79982000,86013000,,6031000,,,,,,,30731000,-154155000,-3.04,173000,992000,,258000,-154328000,,,177569000,-146838000,,-6583000,,92996000,,,116744000,,,97078000,,19666000,84573000,,,,50718302,
2012-02-27,2011-12-31,,,,,,,,,,115482000,142647000,,27165000,,,,,,,61595000,-253922000,-2.53,489000,43000,,255000,-254411000,,,313083000,-251488000,,-2646000,,208981000,,,204242000,,,148568000,,55674000,104102000,,,,100388815,
2012-03-28,2009-12-31,,,,,,,,,,102408000,102408000,,,,,,,,,9535000,-55714000,-7.94,26000,2531000,,159000,-55740000,,,61432000,-51897000,,-1445000,,19282000,,,111943000,,,111943000,,400000,42150000,,,,7021963,
2012-03-28,2010-03-31,,,,,,,,,,,,,,,,,,,,3852000,,-4.04,,,,,-29519000,,,,,,,,500000,,,20812000,,,,,,,,,,,
2012-03-28,2010-06-30,,,,,,,,,,,,,,,,,,,,6261000,,-5.04,,,,,-38517000,,,,,,,,,,,28405000,,,,,,,,,,,
2012-03-28,2010-09-30,,,,,,,,,,,,,,,,,,,,9296000,,-0.38,,,,,-34935000,,,,,,,,,,,31241000,,,,,,,,,,,
2012-03-28,2010-12-31,,,,,,,,,,79982000,86013000,,6031000,,,,,,,30731000,-154155000,-3.04,173000,992000,,258000,-154328000,,,177569000,-146838000,,-6583000,,92996000,,,116744000,,,97078000,,19666000,84573000,,,,50718302,
2012-03-28,2011-03-31,,,,,,,,,,,,,,,,,,,,18028000,,-0.51,,,,,-48941000,,,,,,,,,,,49030000,,,,,,,,,,,
2012-03-28,2011-06-30,,,,,,,,,,,,,,,,,,,,18508000,,-0.60,,,,,-58903000,,,,,,,,,,,58171000,,,,,,,,,,,
2012-03-28,2011-09-30,,,,,,,,,,,,,,,,,,,,17224000,,-0.63,,,,,-65078000,,,,,,,,,,,57666000,,,,,,,,,,,
2012-03-28,2011-12-31,,,,,,,,,,115482000,142647000,,27165000,,,,,,,61595000,-253922000,-2.53,489000,43000,,255000,-254411000,,,313083000,-251488000,,-2646000,,208981000,,,204242000,,,148568000,,55674000,104102000,,,,100388815,
2013-03-07,2010-12-31,,,,,,,,,,79982000,86013000,,6031000,,,,,,,30731000,-154155000,-3.04,173000,992000,,258000,-154328000,,,177569000,-146838000,,-6583000,,92996000,,,116744000,,,97078000,,19666000,84573000,,,,,50718302
2013-03-07,2011-03-31,,,,,,,,,,,,,,,,,,,,18028000,,-0.51,,,,,-48941000,,,,,,,,,,,49030000,,,,,,,,,,,
2013-03-07,2011-06-30,,,,,,,,,,,,,,,,,,,,18508000,,-0.60,,,,,-58903000,,,,,,,,,,,58171000,,,,,,,,,,,
2013-03-07,2011-09-30,,,,,,,,,,,,,,,,,,,,17224000,,-0.63,,,,,-65078000,,,,,,,,,,,57666000,,,,,,,,,,,
