FilingDate,PeriodEnd,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ChangesInNoncontrollingInterestNet,DebtSecuritiesHeldToMaturityTransferAmount,DepreciationAmortizationAndAccretionNet,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeAssetsAndLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInLoansHeldForSale,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInTradingAssets,IncreaseDecreaseInTradingSecurities,InterestPaidNet,LoansOriginatedByNonbankEntities,LongTermDebtTransferAmount,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetChangeInFederalFundsSoldSecuritiesPurchasedUnderResaleAgreementsAndOtherShortTermInvestments,OtherNoncashIncome,OtherNoncashIncomeExpense,PaymentsForLoansOriginatedByBankingSubsidiariesNetOfProceedsFromCollections,PaymentsForOriginationAndPurchasesOfLoansHeldForSale,PaymentsForOriginationOfLoansHeldForSale,PaymentsForOriginationOfMortgageLoansHeldForSale,PaymentsForProceedsFromMortgageServicingRights,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfWarrants,PaymentsOfDividendsCommonStock,PaymentsOfDividendsPreferredStockAndPreferenceStock,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquireAdditionalInterestInSubsidiaries,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireHeldToMaturitySecurities,PaymentsToAcquireLoansAndLeasesHeldForInvestment,PaymentsToAcquireLoansAndLeasesHeldForInvestmentIncludingParticipationsByBankingSubsidiaries,PaymentsToAcquireNonmarketableEquityInvestments,PaymentsToPurchaseOtherLoansHeldForSale,PaymentsforOriginationandpurchasesofMortgageLoansHeldforsale,PaymentsforOriginationandpurchasesofMortgageLoansHeldforsaleandOtherLoansHeldforSale,PaymentstoAcquireNotHeldForTradingEquitySecurities,PreferredStockReleasedToEmployeeStockOptionPlan,PrincipalCollectedOnNonbankEntitiesLoans,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromPaymentsToMinorityShareholders,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleAndCollectionOfLoansHeldforsale,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfForeclosedAssets,ProceedsFromSaleOfForeclosedAssetsAndShortSales,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,ProceedsFromSaleOfNonmarketableEquityInvestments,ProceedsFromSalesIncludingParticipationsOfLoansOriginatedForInvestmentByBankingSubsidiaries,ProceedsFromSalesOfAndPrincipalCollectedOnLoansHeldForSale,ProceedsFromSalesOfAndPrincipalCollectedOnMortgagesOriginatedForSale,ProceedsFromSalesofandPaydownsonMortgagesOriginatedForSaleandOtherLoansHeldForSale,ProceedsFromSalesofandPaydownsonMortgagesOriginatedHeldForSale,ProceedsfromSaleandCapitalReturnsofEquitySecuritiesNotHeldForTrading,ProvisionForLoanLeaseAndOtherLosses,RepaymentsOfLongTermDebt,ShareBasedCompensation,ShareBasedCompensationAndPreferredStockReleasedByEmployeeStockOptionPlan,TransferOfPortfolioLoansAndLeasesToHeldForSale1,TransfersFromAvailableForSaleDebtSecuritiesToHeldToMaturityDebtSecurities,UnrealizedGainLossOnMortgageServicingRightsMortgagesHeldForSaleAndLoansHeldForSale
2012-02-28,2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4939000000,,,,,,
2012-02-28,2008-12-31,,,23763000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15979000000,,,,,,
2012-02-28,2009-12-31,0,3317000000,27080000000,,,-553000000,,2841000000,18000000,18000000,12667000000,3042000000,,293000000,-9453000000,42473000000,,-1028000000,,2070000000,15018000000,-13983000000,,10978000000,9961000000,,-97081000000,,71785000000,,28613000000,,-8548000000,3867000000,,-52240000000,,10800000000,414299000000,10000000,-3556000000,220000000,25000000000,,,2125000000,2178000000,,4500000000,95285000000,,138000000,,,3363000000,,8614000000,,,,106000000,14428000000,21976000000,8396000000,0,38811000000,,,,-69108000000,,53038000000,,3759000000,,,,6162000000,20276000000,399261000000,,,,21668000000,66260000000,245000000,,,,20000000
2012-02-28,2010-12-31,545000000,-11036000000,16044000000,,,-592000000,,1924000000,98000000,98000000,12663000000,1187000000,,-1051000000,-4287000000,23924000000,,-268000000,,-1729000000,19631000000,-12356000000,,8307000000,10836000000,,-26133000000,,-3675000000,,18772000000,,39752000000,-1345000000,,-15869000000,,4596000000,370175000000,65000000,-2800000000,91000000,0,,,1045000000,737000000,,0,53466000000,,36000000,,,2297000000,,7470000000,,,,-63000000,15560000000,1375000000,3489000000,0,47919000000,,,,11308000000,,8668000000,,5444000000,,,,6517000000,17828000000,355325000000,,,,15753000000,63317000000,436000000,,,,1025000000
2012-02-28,2011-12-31,2000000,3396000000,19440000000,,,-331000000,,2208000000,79000000,79000000,16211000000,4875000000,,401000000,-3573000000,72128000000,,-362000000,,3000000000,11529000000,-35149000000,,7011000000,7522000000,,24775000000,,-35044000000,,13665000000,,-36270000000,-3273000000,,35686000000,,5000000,345099000000,155000000,157000000,2416000000,0,,,2537000000,844000000,,0,121235000000,,353000000,,,8878000000,,11723000000,,,,1039000000,9782000000,1296000000,11687000000,2501000000,52618000000,,,,-6231000000,,23062000000,,10655000000,,,,6555000000,11833000000,298524000000,,,,7899000000,50555000000,529000000,,,,295000000
2013-02-27,2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15979000000,,,,,,
2013-02-27,2009-12-31,,,27080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21668000000,,,,,,
2013-02-27,2010-12-31,545000000,-11036000000,16044000000,,,,,1924000000,98000000,98000000,12663000000,1187000000,,-1051000000,-4287000000,23924000000,,-268000000,,-1729000000,19631000000,-12356000000,,8307000000,10836000000,,-26133000000,,-3675000000,,18772000000,,39752000000,,-1345000000,-15869000000,,4596000000,370175000000,65000000,-2800000000,91000000,,,,1045000000,737000000,,,53466000000,,36000000,,2297000000,,,7470000000,,,,,15560000000,1375000000,3489000000,0,47919000000,,,-592000000,11308000000,,8668000000,,5444000000,,6517000000,,,17828000000,355325000000,,,,15753000000,63317000000,,1232000000,,,1025000000
2013-02-27,2011-12-31,2000000,3396000000,321000000,,,,,2208000000,79000000,79000000,16211000000,4875000000,,401000000,-3573000000,72128000000,,-362000000,,3000000000,11529000000,-35149000000,,7011000000,7522000000,,24775000000,,-35044000000,,13665000000,,-36270000000,,-3273000000,35686000000,,5000000,345099000000,155000000,157000000,2416000000,,,,2537000000,844000000,,,121235000000,,353000000,,8878000000,,,11723000000,,,,,9782000000,1296000000,11687000000,2501000000,52618000000,,,-331000000,-6231000000,,23062000000,,10655000000,,6555000000,,,11833000000,298524000000,,,,7899000000,50555000000,,1488000000,,,295000000
2013-02-27,2012-12-31,1000000,2420000000,260000000,,,,,2807000000,226000000,226000000,19368000000,8024000000,,-293000000,1297000000,82762000000,,-84000000,,-11953000000,-2064000000,-105440000000,,5245000000,23555000000,,83770000000,,-139890000000,,58540000000,,92946000000,,3661000000,50420000000,,15000000,483835000000,-116000000,1509000000,3918000000,,,,4565000000,892000000,,,64756000000,,4322000000,,9040000000,,,7975000000,,,,,25080000000,2091000000,27695000000,1377000000,59712000000,,,-611000000,7699000000,,5210000000,,9729000000,,6811000000,,,9383000000,421623000000,,,,7217000000,28093000000,,1698000000,,,2307000000
2014-02-26,2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21668000000,,,,,,
