FilingDate,PeriodEnd,AmortizationOfIntangibleAssets,CommissionAndIncentiveCompensation,CommonStockDividendsPerShareDeclared,CompensationExpenseExcludingCostOfGoodAndServiceSold,DebtAndEquitySecuritiesRealizedGainLoss,DebtSecuritiesGainLoss1,DividendIncomeEquitySecuritiesOperating,EarningsPerShareBasic,EarningsPerShareDiluted,EquipmentExpense,FederalDepositInsuranceCorporationPremiumExpense,FeesAndCommissionMortgageBanking,FeesAndCommissionsCreditAndDebitCards,FeesAndCommissionsCreditCard,FeesAndCommissionsDepositorsAccounts,FeesAndCommissionsFiduciaryAndTrustActivities,FeesAndCommissionsMortgageBankingAndServicing,FeesAndCommissionsOnDepositAccountsAndLendingActivities,FeesAndCommissionsOther,GainLossOnSaleOfDebtInvestments,GainsLossesFromEquityInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,InsuranceAndDepositAssessments,InsuranceServicesRevenue,InterestAndDividendIncomeFromTradingAssets,InterestAndDividendIncomeOperating,InterestAndDividendIncomeSecurities,InterestAndDividendIncomeSecuritiesAvailableForSale,InterestAndDividendIncomeSecuritiesTradingOrMeasuredAtFairValue,InterestAndFeeIncomeLoansAndLeasesHeldForSale,InterestAndFeeIncomeLoansAndLeasesHeldInPortfolio,InterestAndFeeIncomeLoansHeldForSaleMortgages,InterestAndFeeIncomeNonmortgageLoansAndLeasesHeldForSale,InterestExpense,InterestExpenseDeposits,InterestExpenseLongTermDebt,InterestExpenseOperating,InterestExpenseOrReversalOfInterestExpenseShortTermBorrowings,InterestExpenseOther,InterestExpenseShortTermBorrowings,InterestIncomeDebtSecuritiesOperating,InterestIncomeExpenseAfterProvisionForLoanLoss,InterestIncomeExpenseNet,InterestIncomeOther,InterestIncomeOtherLoansHeldForSale,LeaseIncomeLessor,MarketingAndAdvertisingExpense,NetGainsLossesFromEquityInvestments,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NoninterestExpense,NoninterestIncome,NoninterestIncomeOtherLoss,NoninterestIncomeOtherOperatingIncome,OccupancyNet,OperatingLeasesIncomeStatementLeaseRevenue,OperatingLosses,OtherInterestAndDividendIncome,OtherLaborRelatedExpenses,OtherNoninterestExpense,PreferredStockDividendsAndOtherAdjustments,ProfessionalAndContractServicesExpense,ProvisionForLoanLeaseAndOtherLosses,RestructuringCharges,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerIncludingAssessedTax,RevenuesNetOfInterestExpense,SalariesWagesAndOfficersCompensation,TotalCreditAndDebitCardFees,TradingActivityGainsAndLossesNet,TradingGainsLosses,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2012-02-28,2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4939000000,,,,,,,,,,
2012-02-28,2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15979000000,,,,,,,,,,
2012-02-28,2009-12-31,2577000000,8021000000,0.49,,,,,1.76,1.75,2506000000,,12028000000,,3683000000,5741000000,9735000000,,,3804000000,-127000000,,17998000000,12667000000,5331000000,1849000000,2126000000,918000000,56274000000,,11319000000,,,41589000000,1930000000,,9950000000,3774000000,5782000000,,,172000000,222000000,,24656000000,46324000000,,183000000,,,185000000,12275000000,392000000,7990000000,49020000000,42362000000,,1828000000,3127000000,685000000,,335000000,4689000000,12494000000,4285000000,,21668000000,,,,,13757000000,,2674000000,,4562700000,4545200000
2012-02-28,2010-12-31,2199000000,8692000000,0.20,,,,,2.23,2.21,2636000000,,9737000000,,3652000000,4916000000,10934000000,,,3990000000,-324000000,,19001000000,12663000000,6338000000,1197000000,2126000000,1098000000,52796000000,,9666000000,,,39760000000,1736000000,,8039000000,2832000000,4888000000,,,227000000,92000000,,29004000000,44757000000,,101000000,,,779000000,12362000000,301000000,11632000000,50456000000,40453000000,,2180000000,3030000000,815000000,,435000000,4651000000,14182000000,730000000,,15753000000,,,,,13869000000,,1648000000,,5263100000,5226800000
2012-02-28,2011-12-31,1880000000,8857000000,0.48,,,,,2.85,2.82,2283000000,,7832000000,,3653000000,4280000000,11304000000,,,4193000000,54000000,,23656000000,16211000000,7445000000,1266000000,1960000000,1440000000,49412000000,,8475000000,,,37247000000,1644000000,,6649000000,2275000000,3978000000,,,316000000,80000000,,34864000000,42763000000,,58000000,,,1482000000,15869000000,342000000,15025000000,49393000000,38185000000,,1889000000,3011000000,524000000,,548000000,4348000000,13286000000,844000000,,7899000000,,,,,14462000000,,1014000000,,5323400000,5278100000
2013-02-27,2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15979000000,,,,,,,,,,
2013-02-27,2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21668000000,,,,,,,,,,
2013-02-27,2010-12-31,2199000000,8692000000,0.20,,,,,2.23,2.21,2636000000,,9737000000,3652000000,,4916000000,10934000000,,,3990000000,-324000000,,19001000000,12663000000,6338000000,1197000000,2126000000,,52796000000,,9666000000,1098000000,,39760000000,1736000000,101000000,8039000000,2832000000,4888000000,,,227000000,92000000,,29004000000,44757000000,,,,,779000000,12362000000,301000000,11632000000,50456000000,40453000000,,2180000000,3030000000,815000000,,435000000,4651000000,14182000000,730000000,,15753000000,,,,,13869000000,,1648000000,,5263100000,5226800000
2013-02-27,2011-12-31,1880000000,8857000000,0.48,,,,,2.85,2.82,2283000000,,7832000000,3653000000,,4280000000,11304000000,,,4193000000,54000000,,23656000000,16211000000,7445000000,1266000000,1960000000,,49412000000,,8475000000,1440000000,,37247000000,1644000000,58000000,6649000000,2275000000,3978000000,,,316000000,80000000,,34864000000,42763000000,,,,,1482000000,15869000000,342000000,15025000000,49393000000,38185000000,,1889000000,3011000000,524000000,,548000000,4348000000,13286000000,844000000,,7899000000,,,,,14462000000,,1014000000,,5323400000,5278100000
2013-02-27,2012-12-31,1674000000,9504000000,0.88,,,,,3.40,3.36,2068000000,,11638000000,2838000000,,4683000000,11890000000,,,4519000000,-128000000,,28471000000,19368000000,9103000000,1356000000,1850000000,,48391000000,,8098000000,1358000000,,36482000000,1825000000,41000000,5161000000,1727000000,3110000000,,,245000000,79000000,,36013000000,43230000000,,,,,1485000000,18897000000,471000000,17999000000,50398000000,42856000000,,1807000000,2857000000,567000000,,587000000,4611000000,13639000000,898000000,,7217000000,,,,,14689000000,,1707000000,,5351500000,5287600000
