item,value,period.start,period.end,instant,unit,decimals
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,36477000000,,,12/31/2021,usd,-6
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,54253000000,,,12/31/2022,usd,-6
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,73890000000,,,12/31/2023,usd,-6
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,82312000000,,,12/31/2024,usd,-6
NetIncomeLoss,-2722000000,1/1/2022,12/31/2022,,usd,-6
NetIncomeLoss,30425000000,1/1/2023,12/31/2023,,usd,-6
NetIncomeLoss,59248000000,1/1/2024,12/31/2024,,usd,-6
NetIncomeLoss,-2722000000,1/1/2022,12/31/2022,,usd,-6
NetIncomeLoss,30425000000,1/1/2023,12/31/2023,,usd,-6
NetIncomeLoss,59248000000,1/1/2024,12/31/2024,,usd,-6
NetIncomeLoss,900000000,1/1/2025,12/31/2025,,usd,-6
NetIncomeLoss,-700000000,1/1/2025,12/31/2025,,usd,-6
NetIncomeLoss,-600000000,1/1/2025,12/31/2025,,usd,-8
NetIncomeLoss,2500000000,1/1/2024,12/31/2024,,usd,-8
DepreciationDepletionAndAmortization,41921000000,1/1/2022,12/31/2022,,usd,-6
DepreciationDepletionAndAmortization,48663000000,1/1/2023,12/31/2023,,usd,-6
DepreciationDepletionAndAmortization,52795000000,1/1/2024,12/31/2024,,usd,-6
DepreciationDepletionAndAmortization,920000000,10/1/2024,12/31/2024,,usd,-6
DepreciationDepletionAndAmortization,-3200000000,1/1/2024,12/31/2024,,usd,-8
ShareBasedCompensation,19621000000,1/1/2022,12/31/2022,,usd,-6
ShareBasedCompensation,24023000000,1/1/2023,12/31/2023,,usd,-6
ShareBasedCompensation,22011000000,1/1/2024,12/31/2024,,usd,-6
OtherNoncashIncomeExpense,-16966000000,1/1/2022,12/31/2022,,usd,-6
OtherNoncashIncomeExpense,748000000,1/1/2023,12/31/2023,,usd,-6
OtherNoncashIncomeExpense,-2012000000,1/1/2024,12/31/2024,,usd,-6
DeferredIncomeTaxExpenseBenefit,-8148000000,1/1/2022,12/31/2022,,usd,-6
DeferredIncomeTaxExpenseBenefit,-5876000000,1/1/2023,12/31/2023,,usd,-6
DeferredIncomeTaxExpenseBenefit,-4648000000,1/1/2024,12/31/2024,,usd,-6
IncreaseDecreaseInInventories,2592000000,1/1/2022,12/31/2022,,usd,-6
IncreaseDecreaseInInventories,-1449000000,1/1/2023,12/31/2023,,usd,-6
IncreaseDecreaseInInventories,1884000000,1/1/2024,12/31/2024,,usd,-6
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,8622000000,1/1/2022,12/31/2022,,usd,-6
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,8348000000,1/1/2023,12/31/2023,,usd,-6
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,3249000000,1/1/2024,12/31/2024,,usd,-6
IncreaseDecreaseInOtherNoncurrentAssets,13275000000,1/1/2022,12/31/2022,,usd,-6
IncreaseDecreaseInOtherNoncurrentAssets,12265000000,1/1/2023,12/31/2023,,usd,-6
IncreaseDecreaseInOtherNoncurrentAssets,14483000000,1/1/2024,12/31/2024,,usd,-6
IncreaseDecreaseInAccountsPayable,2945000000,1/1/2022,12/31/2022,,usd,-6
IncreaseDecreaseInAccountsPayable,5473000000,1/1/2023,12/31/2023,,usd,-6
IncreaseDecreaseInAccountsPayable,2972000000,1/1/2024,12/31/2024,,usd,-6
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-1558000000,1/1/2022,12/31/2022,,usd,-6
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-2428000000,1/1/2023,12/31/2023,,usd,-6
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-2904000000,1/1/2024,12/31/2024,,usd,-6
IncreaseDecreaseInContractWithCustomerLiability,2216000000,1/1/2022,12/31/2022,,usd,-6
IncreaseDecreaseInContractWithCustomerLiability,4578000000,1/1/2023,12/31/2023,,usd,-6
IncreaseDecreaseInContractWithCustomerLiability,4007000000,1/1/2024,12/31/2024,,usd,-6
NetCashProvidedByUsedInOperatingActivities,46752000000,1/1/2022,12/31/2022,,usd,-6
NetCashProvidedByUsedInOperatingActivities,84946000000,1/1/2023,12/31/2023,,usd,-6
NetCashProvidedByUsedInOperatingActivities,1.15877E+11,1/1/2024,12/31/2024,,usd,-6
PaymentsToAcquireProductiveAssets,63645000000,1/1/2022,12/31/2022,,usd,-6
PaymentsToAcquireProductiveAssets,52729000000,1/1/2023,12/31/2023,,usd,-6
PaymentsToAcquireProductiveAssets,82999000000,1/1/2024,12/31/2024,,usd,-6
ProceedsFromPropertyPlantAndEquipmentSalesAndIncentives,5324000000,1/1/2022,12/31/2022,,usd,-6
ProceedsFromPropertyPlantAndEquipmentSalesAndIncentives,4596000000,1/1/2023,12/31/2023,,usd,-6
ProceedsFromPropertyPlantAndEquipmentSalesAndIncentives,5341000000,1/1/2024,12/31/2024,,usd,-6
PaymentsToAcquireBusinessesNetOfCashAcquiredAndPaymentsToAcquireNonmarketableSecuritiesAndOther,8316000000,1/1/2022,12/31/2022,,usd,-6
PaymentsToAcquireBusinessesNetOfCashAcquiredAndPaymentsToAcquireNonmarketableSecuritiesAndOther,5839000000,1/1/2023,12/31/2023,,usd,-6
PaymentsToAcquireBusinessesNetOfCashAcquiredAndPaymentsToAcquireNonmarketableSecuritiesAndOther,7082000000,1/1/2024,12/31/2024,,usd,-6
ProceedsFromSaleAndMaturityOfMarketableSecurities,31601000000,1/1/2022,12/31/2022,,usd,-6
ProceedsFromSaleAndMaturityOfMarketableSecurities,5627000000,1/1/2023,12/31/2023,,usd,-6
ProceedsFromSaleAndMaturityOfMarketableSecurities,16403000000,1/1/2024,12/31/2024,,usd,-6
PaymentsToAcquireMarketableSecurities,2565000000,1/1/2022,12/31/2022,,usd,-6
PaymentsToAcquireMarketableSecurities,1488000000,1/1/2023,12/31/2023,,usd,-6
PaymentsToAcquireMarketableSecurities,26005000000,1/1/2024,12/31/2024,,usd,-6
