item,value,period.start,period.end,unit,decimals
RevenueFromContractWithCustomerExcludingAssessedTax,2.43E+11,1/1/2022,12/31/2022,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,2.56E+11,1/1/2023,12/31/2023,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,2.72E+11,1/1/2024,12/31/2024,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,2.71E+11,1/1/2022,12/31/2022,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,3.19E+11,1/1/2023,12/31/2023,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,3.66E+11,1/1/2024,12/31/2024,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,5.14E+11,1/1/2022,12/31/2022,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,5.75E+11,1/1/2023,12/31/2023,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,6.38E+11,1/1/2024,12/31/2024,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,3.16E+11,1/1/2022,12/31/2022,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,3.53E+11,1/1/2023,12/31/2023,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,3.87E+11,1/1/2024,12/31/2024,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,1.18E+11,1/1/2022,12/31/2022,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,1.31E+11,1/1/2023,12/31/2023,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,1.43E+11,1/1/2024,12/31/2024,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,80096000000,1/1/2022,12/31/2022,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,90757000000,1/1/2023,12/31/2023,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,1.08E+11,1/1/2024,12/31/2024,usd,-6
RevenueFromContractWithCustomerExcludingAssessedTax,2.20E+11,1/1/2022,12/31/2022,usd,-6
